"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A survey on computer aided techniques for diagnosing Alzheimer disease","S. Shaju; D. Davis; K. R. Reshma","Department of Computer Science, Jyothi Engineering College, Cheruthuruthy, India","2016 International Conference on Circuit, Power and Computing Technologies (ICCPCT)","20160804","2016","","","1","4","Medical image processing is a fast growing and highly challenging field. Medical imaging Techniques are widely made use of in order to analyse the inner portions of the human body for the medical diagnosis. The Brain disorder such as Alzheimer is considered as a serious life threatening disease. The paper is basically a discussion and a comparative study on the computer aided techniques applied to the brain MRI images for diagnosing Alzheimer disease. The techniques like Principalcomponent-analysis PCA +SVM, Voxel-as-feature VAF +SVM, Non -negative - matrix factorization NMF+SVM and Probabilistic Neural Network-Radial Basis Function are discussed, and their performance, accuracy, specificity and sensitivity measures is evaluated.","","DVD:978-1-5090-1276-3; Electronic:978-1-5090-1277-0; POD:978-1-5090-1278-7","10.1109/ICCPCT.2016.7530172","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530172","Alzheimer Disease;Classification;Clustering;Computer Aided Diagnosis;Feature Extraction;Feature Selection;Probabilistic Neural Networks;Radial Basis Function;Region of Interest;Support Vector Machine","Alzheimer's disease;Brain;Computers;Feature extraction;Principal component analysis;Support vector machines","biomedical MRI;content-based retrieval;feature extraction;image retrieval;matrix decomposition;medical image processing;principal component analysis;radial basis function networks;support vector machines","Alzheimer disease diagnosis;NMF;PCA;SVM;VAF;accuracy measure;brain MRI images;computer aided techniques;magnetic resonance imaging;medical image processing;nonnegative matrix factorization;principal component analysis;probabilistic neural network;radial basis function;sensitivity measure;specificity measure;support vector machines;voxel-as-feature","","","","","","","","18-19 March 2016","","IEEE","IEEE Conferences"
"DemNet: A Convolutional Neural Network for the detection of Alzheimer's Disease and Mild Cognitive Impairment","C. D. Billones; O. J. L. D. Demetria; D. E. D. Hostallero; P. C. Naval","Computer Vision & Machine Intelligence Group, Department of Computer Science, College of Engineering, University of the Philippines-Diliman, Philippines","2016 IEEE Region 10 Conference (TENCON)","20170209","2016","","","3724","3727","The early diagnosis of Alzheimer's Disease (AD) and its prodromal form, Mild Cognitive Impairment (MCI), has been the subject of extensive research in recent years. Some recent studies have shown promising results in the diagnosis of AD and MCI using structural Magnetic Resonance Imaging (MRI) scans. In this paper, we propose the use of a Convolutional Neural Network (CNN) in the detection of AD and MCI. In particular, we modified the 16-layered VGGNet for the 3-way classification of AD, MCI and Healthy Controls (HC) on the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset achieving an overall accuracy of 91.85% and outperforming several classifiers from other studies.","","Electronic:978-1-5090-2597-8; POD:978-1-5090-2598-5; USB:978-1-5090-2596-1","10.1109/TENCON.2016.7848755","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7848755","","Alzheimer's disease;Biological neural networks;Feature extraction;Kernel;Magnetic resonance imaging;Neurons","biomedical MRI;convolution;data analysis;medical image processing;neural nets","16-layered VGGNet;3-way classification;AD;ADNI dataset;Alzheimer disease neuroimaging initiative dataset;CNN;DemNet;HC;MCI;MRI scans;convolutional neural network;healthy controls;magnetic resonance imaging scans;mild cognitive impairment detection;prodromal form;structural magnetic resonance imaging","","1","","","","","","22-25 Nov. 2016","","IEEE","IEEE Conferences"
"A Zernike moment based method for classification of Alzheimer's disease from structural MRI","A. Shams-Baboli; M. Ezoji","Department of Electrical and Computer Engineering, Babol Noshirvani University of Technology, Babol, Iran","2017 3rd International Conference on Pattern Recognition and Image Analysis (IPRIA)","20170720","2017","","","38","43","This paper proposed a method based on Zernike moments to classify the various stages of Alzheimer's Disease(AD) from structural MRIs. The proposed method is benefited from all three orthogonal directions of MRIs i.e. Axial, Sagittal and Coronal images. Three back-propagation algorithms had been used to train the neural network with seven neurons in hidden layer to reach the best accuracy. We experimented this method with 232 MRIs from OASIS database. 70 percent of the subjects had been used for training and the other 30 percent was used to evaluate the trained network. We achieved accuracy of 86.46 percent in multiclass mode and 96.67 percent of accuracy in two class mode between HC and AD.","","Electronic:978-1-5090-6454-0; POD:978-1-5090-6455-7","10.1109/PRIA.2017.7983061","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7983061","Alzheimer's disease;Artificial neural network;Zernike moments;magnetic resonance images;mild cognitive impairment","Artificial neural networks;Classification algorithms;Dementia;Feature extraction;Magnetic resonance imaging;Training","backpropagation;biomedical MRI;diseases;feature extraction;image classification;medical image processing;neural nets;visual databases","AD;Alzheimer's disease classification;HC;OASIS database;Zernike moment based method;axial images;back-propagation algorithms;coronal images;hidden layer;multiclass mode;neural network training;orthogonal directions;sagittal images;structural MRI;two-class mode","","","","","","","","19-20 April 2017","","IEEE","IEEE Conferences"
"Computer-aided classification of multi-types of dementia via convolutional neural networks","E. M. Alkabawi; A. R. Hilal; O. A. Basir","Department of Electrical and Computer Engineering, University of Waterloo, Ontario, Canada","2017 IEEE International Symposium on Medical Measurements and Applications (MeMeA)","20170720","2017","","","45","50","With millions of people suffering from dementia worldwide, the global prevalence of dementia has a significant impact on the patients' lives, their caregivers' physical and emotional states, and the global economy. Early diagnosis of dementia helps in finding suitable therapies that reduce or even prevent further deterioration of patients' cognitive abilities. In recent years, state-of-the-art literature has proposed various computer-aided diagnosis systems based on 3-dimensional brain imagery analysis to identify early symptoms of dementia. These systems aim to assist radiologists in increasing the accuracy of diagnoses and reducing false positives. However, the early diagnosis of dementia is a challenging task due to the image quality, noise, and human brain irregularities. The state-of-the-art has focused on differentiating multi-stages of Alzheimer's disease, however, the diagnosis of various types of dementia is still a gap. This paper proposes a deep learning-based computer-aided diagnosis approach for the early detection of multi-type of dementia. To show the performance of the proposed CAD algorithm, three conventional CAD methods are implemented for comparison. The proposed algorithm yields a 74.93% accuracy in early diagnosis of multi-type of dementia and outperforms the state of the art CAD methods.","","Electronic:978-1-5090-2984-6; POD:978-1-5090-2985-3","10.1109/MeMeA.2017.7985847","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985847","Alzheimer's disease;Brain imaging;Computer-Aided Diagnosis;Convolutional Neural Networks;Dementia;Early diagnosis;Magnetic Resonance Imaging","Brain;Dementia;Feature extraction;Image edge detection;Image segmentation;Magnetic resonance imaging","biomedical MRI;cognition;convolution;diseases;learning (artificial intelligence);medical disorders;medical image processing;neural nets;neurophysiology","Alzheimer disease;caregiver physical states;caregiveremotional states;convolutional neural networks;deep learning-based computer-aided diagnosis approach;dementia;image quality;magnetic resonance imaging;patient cognitive abilities;three-dimensional brain imagery analysis","","","","","","","","7-10 May 2017","","IEEE","IEEE Conferences"
"Content and context based similarity for disease diagnosis","F. V. Özdemir; A. Fettahoğlu; D. Ünay","Biyomedikal Muhendisligi Bolumu, Bahcecehir Univ., Istanbul, Turkey","2014 22nd Signal Processing and Communications Applications Conference (SIU)","20140612","2014","","","1446","1449","When there is a new patient, medical experts usually compare the results with those of previously seen cases for diagnosis and treatment. Besides, the number of digital medical images acquired, stored and managed at the healthcare centres is exponentially increasing each day with the advances in the medical imaging technology. Therefore, automated search and retrieval of similar casesfrom large medical databases may especially improve diagnosis and treatment of diseases whose causes and effects have not yet been fully known. Database management systems used at clinical sites store textual information like name, age, and gender along with medical images. Accordingly, combined usage of image features (content) with demographic and clinical information (context) for similar case search may improve accuracy andreliability of diagnosis, and thus result in increased patient care and lower healthcare costs. In this study we explored the effect of content features extracted from magnetic resonance images and context features such as patient demographics and clinical data on similarity-based disease diagnosis. Our validation on data composed of Alzheimer, Parkinson, Dementia and healty cases showed that combined usage of content and context provides more accurate diagnosis with less features.","2165-0608;21650608","Electronic:978-1-4799-4874-1; POD:978-1-4799-4873-4","10.1109/SIU.2014.6830512","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6830512","Brain;CBIR;Content;Context;Diagnosis;MR","Context;Dementia;Medical diagnostic imaging;Signal processing","biomedical MRI;content-based retrieval;database management systems;diseases;feature extraction;health care;medical image processing;ubiquitous computing","automated retrieval;automated search;clinical data;clinical information;content features;database management systems;demographic information;digital medical images;healthcare centres;image features;large medical databases;magnetic resonance images;medical experts;medical imaging technology;patient demographics;similarity-based disease diagnosis;textual information","","1","","20","","","","23-25 April 2014","","IEEE","IEEE Conferences"
"Anatomical Landmark based Deep Feature Representation for MR Images in Brain Disease Diagnosis","M. Liu; J. Zhang; D. Nie; P. T. Yap; D. Shen","Department of Radiology and BRIC, University of North Carolina, Chapel Hill, Chapel Hill, North Carolina United States (e-mail: mxliu1226@gmail.com)","IEEE Journal of Biomedical and Health Informatics","","2018","PP","99","1","1","Most automated techniques for brain disease diagnosis utilize hand-crafted (e.g., voxel-based or region-based) biomarkers from structural magnetic resonance (MR) images as feature representations. However, these hand-crafted features are usually high-dimensional or require regions-of-interest (ROIs) defined by experts. In addition, because of the possibly heterogeneous property between the hand-crafted features and the subsequent model, existing methods may lead to sub-optimal performances in brain disease diagnosis. In this paper, we propose a landmark based deep feature learning (LDFL) framework to automatically extract patch-based representation from MRI for automatic diagnosis of Alzheimer's disease (AD). We first identify discriminative anatomical landmarks from MR images in a data-driven manner, and then propose a convolutional neural network (CNN) for patch-based deep feature learning. We have evaluated the proposed method on subjects from three public datasets, including the Alzheimer's Disease Neuroimaging Initiative (ADNI-1), ADNI-2, and the Minimal Interval Resonance Imaging in Alzheimer's Disease (MIRIAD) dataset. Experimental results of both tasks of brain disease classification and MR image retrieval demonstrate that the proposed LDFL method improves the performance of brain disease classification and MR image retrieval.","2168-2194;21682194","","10.1109/JBHI.2018.2791863","NIH; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8253440","Anatomical landmarks;brain disease diagnosis;classification;convolutional neural network;image retrieval","Dementia;Feature extraction;Image retrieval;Testing;Training","","","","","","","","","20180110","","","IEEE","IEEE Early Access Articles"
"Multi-Channel brain atrophy pattern analysis in neuroimaging retrieval","S. Liu; W. Cai; L. Wen; D. Feng","Biomedical and Multimedia Information Technology (BMIT) Research Group, School of Information Technologies, University of Sydney, Australia","2013 IEEE 10th International Symposium on Biomedical Imaging","20130715","2013","","","202","205","The high throughput 3D neuroimaging datasets have posed great challenges for neuroimaging data retrieval. To achieve more accurate neuroimaging retrieval, various content-based retrieval approaches have been proposed. Recent studies showed a tendency of using the localized features extracted from a subset of the brain structures, instead of the global features extracted from whole brain. However, these studies relied heavily on specific pattern analysis techniques or clinical expertise. In this study we proposed a Multi-Channel pattern analysis approach to identify the most discriminative disease-sensitive brain structures for neurodegenerative disorders and thus to enhance neuroimaging retrieval. The preliminary results suggested that the proposed Multi-Channel pattern analysis approach could confidently identify the brain structures with atrophy and further improve the neuroimaging retrieval performance.","1945-7928;19457928","Electronic:978-1-4673-6455-3; POD:978-1-4673-6456-0","10.1109/ISBI.2013.6556447","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6556447","multi-channel analysis;neuroimaging retrieval","Alzheimer's disease;Atrophy;Brain;Magnetic resonance imaging;Neuroimaging;Pattern analysis;Support vector machines","brain;diseases;feature extraction;image retrieval;medical disorders;medical image processing;neurophysiology;pattern classification","brain structure identification;brain structure subset;content-based retrieval approach;discriminative disease-sensitive brain structure;global feature extraction;high throughput 3D neuroimaging dataset;localized feature extraction;multichannel brain atrophy pattern analysis;neurodegenerative disorder;neuroimaging data retrieval;neuroimaging retrieval enhancement;pattern analysis technique","","13","","21","","","","7-11 April 2013","","IEEE","IEEE Conferences"
"A Robust Deep Model for Improved Classification of AD/MCI Patients","F. Li; L. Tran; K. H. Thung; S. Ji; D. Shen; J. Li","Department of Electrical and Computer Engineering, Old Dominion University, Norfolk, VA, USA","IEEE Journal of Biomedical and Health Informatics","20170520","2015","19","5","1610","1616","Accurate classification of Alzheimer's disease (AD) and its prodromal stage, mild cognitive impairment (MCI), plays a critical role in possibly preventing progression of memory impairment and improving quality of life for AD patients. Among many research tasks, it is of a particular interest to identify noninvasive imaging biomarkers for AD diagnosis. In this paper, we present a robust deep learning system to identify different progression stages of AD patients based on MRI and PET scans. We utilized the dropout technique to improve classical deep learning by preventing its weight coadaptation, which is a typical cause of overfitting in deep learning. In addition, we incorporated stability selection, an adaptive learning factor, and a multitask learning strategy into the deep learning framework. We applied the proposed method to the ADNI dataset, and conducted experiments for AD and MCI conversion diagnosis. Experimental results showed that the dropout technique is very effective in AD diagnosis, improving the classification accuracies by 5.9% on average as compared to the classical deep learning methods.","2168-2194;21682194","","10.1109/JBHI.2015.2429556","10.13039/501100001677 - NIH grants; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7101222","Alzheimer’s Disease;Alzheimer's disease (AD);Deep Learning;Early Diagnosis;MRI;PET;deep learning;early diagnosis;magnetic resonance imaging (MRI);positron emission tomography (PET)","Computational modeling;Feature extraction;Magnetic resonance imaging;Positron emission tomography;Principal component analysis;Support vector machines;Training","biomedical MRI;cognition;diseases;learning (artificial intelligence);medical computing;neurophysiology;positron emission tomography","AD conversion diagnosis;AD diagnosis;AD patients;ADNI dataset;Alzheimer's disease;MCI conversion diagnosis;MCI patients;MRI;PET scans;adaptive learning factor;classical deep learning method;classification accuracy;deep learning framework;dropout technique;improved classification;memory impairment;mild cognitive impairment;multitask learning strategy;noninvasive imaging biomarkers;prodromal stage;progression stages;quality of life;robust deep learning system;stability selection;weight coadaptation","0;Alzheimer Disease;Early Diagnosis;Humans;Image Interpretation, Computer-Assisted;Machine Learning;Magnetic Resonance Imaging;Mild Cognitive Impairment;Models, Theoretical;Positron-Emission Tomography;Principal Component Analysis;Support Vector Machine","17","","29","","","20150504","Sept. 2015","","IEEE","IEEE Journals & Magazines"
"Voxel-Based Diagnosis of Alzheimer's Disease Using Classifier Ensembles","R. Armañanzas; M. Iglesias; D. A. Morales; L. Alonso-Nanclares","Krasnow Institute for Advanced Study, George Mason University, Fairfax, VA, USA","IEEE Journal of Biomedical and Health Informatics","20170520","2017","21","3","778","784","Functional magnetic resonance imaging (fMRI) is one of the most promising noninvasive techniques for early Alzheimer's disease (AD) diagnosis. In this paper, we explore the application of different machine learning techniques to the classification of fMRI data for this purpose. The functional images were first preprocessed using the statistical parametric mapping toolbox to output individual maps of statistically activated voxels. A fast filter was applied afterwards to select voxels commonly activated across demented and nondemented groups. Four feature ranking selection techniques were embedded into a wrapper scheme using an inner-outer loop for the selection of relevant voxels. The wrapper approach was guided by the performance of six pattern recognition models, three of which were ensemble classifiers based on stochastic searches. Final classification performance was assessed from the nested internal and external cross-validation loops taking several voxel sets ordered by importance. Numerical performance was evaluated using statistical tests, and the best combination of voxel selection and classification reached a 97.14% average accuracy. Results repeatedly pointed out Brodmann regions with distinct activation patterns between demented and nondemented profiles, indicating that the machine learning analysis described is a powerful method to detect differences in several brain regions between both groups.","2168-2194;21682194","","10.1109/JBHI.2016.2538559","Spanish Ministry of Economy and Competitiveness; 10.13039/100000065 - National Institute of Neurological Disorders and Stroke; 10.13039/100000957 - Alzheimer s Association; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7426350","Alzheimer's disease;feature selection;functional magnetic resonance imaging;machine learning;supervised classification","Dementia;Indexes;Informatics;Pattern recognition;Vegetation","biomedical MRI;brain;diseases;feature selection;image classification;learning (artificial intelligence);medical image processing;neurophysiology;statistical analysis;stochastic processes","Alzheimer's disease diagnosis;Brodmann regions;brain regions;classifier ensembles;distinct activation patterns;fMRI data classification;feature ranking selection;functional images;functional magnetic resonance imaging;inner-outer loop;machine learning;nested external cross-validation loops;nested internal cross-validation loops;nondemented profiles;noninvasive techniques;numerical performance;output individual maps;pattern recognition models;statistical parametric mapping toolbox;statistical tests;statistically activated voxels;stochastic searches;voxel classification;voxel selection;voxel-based diagnosis;wrapper scheme","Aged;Aged, 80 and over;Algorithms;Alzheimer Disease;Brain;Female;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Male;Middle Aged;Neuroimaging;Supervised Machine Learning","1","","","","","20160304","May 2017","","IEEE","IEEE Journals & Magazines"
"Single channel EEG time-frequency features to detect Mild Cognitive Impairment","S. Khatun; B. I. Morshed; G. M. Bidelman","Electrical and Computer Engineering, The University of Memphis, TN, USA","2017 IEEE International Symposium on Medical Measurements and Applications (MeMeA)","20170720","2017","","","437","442","Detection of Mild Cognitive Impairment (MCI), a possible biomarker for the Alzheimer disease (AD), has a huge importance for the management of the elderly's healthcare. As the treatment of AD is very costly and the early discovery is beneficial, a low-cost, early detection mechanism is needed. In this study, Electroencephalography (EEG) data from seventeen subjects was used to determine if brain activity could be used to distinguish MCI with cognitively normal individuals and compare classification performance. Event-related brain potentials (ERP) were recorded in response to auditory speech stimuli. We extracted spectral and temporal features of the ERPs and built a MCI detection process with Support vector machine (SVM), Logistic Regression (LR), and Random Forest (RF). We have compared behavioral response against EEG based time domain features, frequency domain features, and top-ranked features of time-frequency domains. Four feature groups of our study demonstrate that the ranked time and frequency domain features of the EEG perform better than behavioral features and other EEG/ERP response metrics. Our results demonstrate the performance of the detection of MCI with a cross-validation accuracy of 87.9%, sensitivity 85%, specificity 90%, and F-score 94%. Ability to objectively and reliably detect MCI at early might lead to efficacious treatment of AD and related disorders.","","Electronic:978-1-5090-2984-6; POD:978-1-5090-2985-3","10.1109/MeMeA.2017.7985916","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985916","Electroencephalography;Event related potential;Mild cognitive impairment;Support vector machine","Artificial neural networks;Brain modeling;Diseases;Radio frequency","brain;cognition;diseases;electroencephalography;feature extraction;medical signal detection;medical signal processing;patient treatment;random processes;regression analysis;signal classification;speech;support vector machines;time-frequency analysis","AD treatment;Alzheimer disease;EEG-ERP response;LR;MCI detection;RF;SVM;auditory speech stimuli;biomarker;brain activity;electroencephalography;event-related brain potentials;frequency domain features;logistic regression;mild cognitive impairment detection;random forest;single channel EEG time-frequency features;spectral feature extraction;support vector machine;temporal feature extraction","","","","","","","","7-10 May 2017","","IEEE","IEEE Conferences"
