Title,Year,DOI,Link
"Network connectivity determines cortical thinning in early Parkinson's disease progression",2018,10.1038/s41467-017-02416-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039955232&doi=10.1038%2fs41467-017-02416-0&partnerID=40&md5=7278a68e9f67f4ddbaeadb5056e5ee92"
"Segmentation of white matter hyperintensities using convolutional neural networks with global spatial information in routine clinical brain MRI with none or mild vascular pathology",2018,10.1016/j.compmedimag.2018.02.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042766740&doi=10.1016%2fj.compmedimag.2018.02.002&partnerID=40&md5=3c5addc476890756d3e387f8f1af6a73"
"Predicting cognitive decline with deep learning of brain metabolism and amyloid imaging",2018,10.1016/j.bbr.2018.02.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042233822&doi=10.1016%2fj.bbr.2018.02.017&partnerID=40&md5=dfbc00554135341d2fc75a39dee1d1c5"
"Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease",2018,10.1016/j.media.2018.02.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042877208&doi=10.1016%2fj.media.2018.02.002&partnerID=40&md5=19304edcbe4eb23b2c4d5294307aafe7"
"The neurochemistry of agitation in Alzheimer's disease: a systematic review",2018,10.1016/j.arr.2018.03.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043389543&doi=10.1016%2fj.arr.2018.03.003&partnerID=40&md5=c1b42d47d864a0f7667adae50ea5fb12"
"Damage of the temporal lobe and APOE status determine neural compensation in mild cognitive impairment",2018,10.1016/j.cortex.2018.01.018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042314180&doi=10.1016%2fj.cortex.2018.01.018&partnerID=40&md5=6c430b91f8184578e0a851da6a37bbdb"
"Analysis of the vasculature by immunohistochemistry in paraffin-embedded brains",2018,10.1007/s00429-017-1595-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038349106&doi=10.1007%2fs00429-017-1595-8&partnerID=40&md5=50fcb36002dbe6e263c51b540c1d63b0"
"Alzheimer disease detection from structural MR images using FCM based weighted probabilistic neural network",2018,10.1007/s11682-018-9831-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042180991&doi=10.1007%2fs11682-018-9831-2&partnerID=40&md5=d292100c309b94240c7278f7a7a3ca0f"
"Alzheimer's disease diagnosis based on the Hippocampal Unified Multi-Atlas Network (HUMAN) algorithm",2018,10.1186/s12938-018-0439-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040861248&doi=10.1186%2fs12938-018-0439-y&partnerID=40&md5=1f5467bccf16684cb8401594168354f5"
"Multi-task neural networks for joint hippocampus segmentation and clinical score regression",2018,10.1007/s11042-017-5581-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040627901&doi=10.1007%2fs11042-017-5581-1&partnerID=40&md5=d71bb829e07a82954a9b4a6aaa2b0ac5"
