Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Deep Learning in the EEG Diagnosis of Alzheimer’s Disease","Computer Vision - ACCV 2014 Workshops","","","","10.1007/978-3-319-16628-5_25","Yilu ZhaoLianghua He","2015","http://link.springer.com/chapter/10.1007/978-3-319-16628-5_25","Chapter"
"Deep Learning Based Imaging Data Completion for Improved Brain Disease Diagnosis","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2014","","","","10.1007/978-3-319-10443-0_39","Rongjian LiWenlu ZhangHeung-Il SukLi WangJiang LiDinggang ShenShuiwang Ji","2014","http://link.springer.com/chapter/10.1007/978-3-319-10443-0_39","Chapter"
"Multi-stage Diagnosis of Alzheimer’s Disease with Incomplete Multimodal Data via Multi-task Deep Learning","Deep Learning in Medical Image Analysis and Multimodal Learning for Clinical Decision Support","","","","10.1007/978-3-319-67558-9_19","Kim-Han ThungPew-Thian YapDinggang Shen","2017","http://link.springer.com/chapter/10.1007/978-3-319-67558-9_19","Chapter"
"Learning Longitudinal MRI Patterns by SICE and Deep Learning: Assessing the Alzheimer’s Disease Progression","Medical Image Understanding and Analysis","","","","10.1007/978-3-319-60964-5_36","Andrés OrtizJorge MunillaFrancisco J. Martínez-MurciaJuan M. GórrizJavier Ramírez","2017","http://link.springer.com/chapter/10.1007/978-3-319-60964-5_36","Chapter"
"Deep Learning-Based Feature Representation for AD/MCI Classification","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2013","","","","10.1007/978-3-642-40763-5_72","Heung-Il SukDinggang Shen","2013","http://link.springer.com/chapter/10.1007/978-3-642-40763-5_72","Chapter"
"Deep Learning Using EEG Data in Time and Frequency Domains for Sleep Stage Classification","Advances in Computational Intelligence","","","","10.1007/978-3-319-59153-7_12","Martí ManzanoAlberto GuillénIgnacio RojasLuis Javier Herrera","2017","http://link.springer.com/chapter/10.1007/978-3-319-59153-7_12","Chapter"
"A Novel Deep Learning Based Multi-class Classification Method for Alzheimer’s Disease Detection Using Brain MRI Data","Brain Informatics","","","","10.1007/978-3-319-70772-3_20","Jyoti IslamYanqing Zhang","2017","http://link.springer.com/chapter/10.1007/978-3-319-70772-3_20","Chapter"
"Robust Deep Learning for Improved Classification of AD/MCI Patients","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-10581-9_30","Feng LiLoc TranKim-Han ThungShuiwang JiDinggang ShenJiang Li","2014","http://link.springer.com/chapter/10.1007/978-3-319-10581-9_30","Chapter"
"Introduction","Multimodal Neuroimaging Computing for the Characterization of Neurodegenerative Disorders","","","","10.1007/978-981-10-3533-3_1","Sidong Liu","2017","http://link.springer.com/chapter/10.1007/978-981-10-3533-3_1","Chapter"
"Deep Learning Trends for Focal Brain Pathology Segmentation in MRI","Machine Learning for Health Informatics","","","","10.1007/978-3-319-50478-0_6","Mohammad HavaeiNicolas GuizardHugo LarochellePierre-Marc Jodoin","2016","http://link.springer.com/chapter/10.1007/978-3-319-50478-0_6","Chapter"
