author;year;title;conference;city;doi
A. Aiordachioae and R.-D. Vatavu;2019;Life-Tags: A Smartglasses-based System for Recording and Abstracting Life with Tag Clouds;Proc. ACM Hum.-Comput. Interact.;;10.1145/3331157
R. Alghofaili, Y. Sawahata, H. Huang, H.-C. Wang, T. Shiratori and L.-F. Yu;2019;Lost in Style: Gaze-driven Adaptive Aid for VR Navigation;Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems;Glasgow, Scotland Uk;10.1145/3290605.3300578
E. Ayday, X. Jiang and B. Malin;2018;GenoPri'16: International Workshop on Genome Privacy and Security;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2018.2856959
J. Bashir and S. R. Sarangi;2019;Predict, Share, and Recycle Your Way to Low-power Nanophotonic Networks;J. Emerg. Technol. Comput. Syst.;;10.1145/3356585
J. Bell and T. W. Leong;2019;Collaborative Futures: Co-Designing Research Methods for Younger People Living with Dementia;Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems;Glasgow, Scotland Uk;10.1145/3290605.3300582
A. Bourazeri and S. Stumpf;2018;Co-designing smart home technology with people with dementia or Parkinson's disease;Proceedings of the 10th Nordic Conference on Human-Computer Interaction;Oslo, Norway;10.1145/3240167.3240197
T. Caulfield, J. M. Spring and M. A. Sasse;2019;Why Jenny can't figure out which of these messages is a covert information operation;Proceedings of the New Security Paradigms Workshop;San Carlos, Costa Rica;10.1145/3368860.3368870
W. Cavenett, S. Baker, J. Waycott, R. Carrasco, E. Robertson, F. Vetere and R. Hampson;2018;Deploying new technology in residential aged care: staff members' perspectives;Proceedings of the 30th Australian Conference on Computer-Human Interaction;Melbourne, Australia;10.1145/3292147.3292214
T. Chaspari, A. Metallinou, L. I. S. Duker and A. Behzadan;2018;Human-Habitat for Health (H3): Human-habitat Multimodal Interaction for Promoting Health and Well-being in the Internet of Things Era;Proceedings of the 20th ACM International Conference on Multimodal Interaction;Boulder, CO, USA;10.1145/3242969.3265862
S. Coscetti, D. Moroni, G. Pieri and M. Tampucci;2020;Factory Maintenance Application Using Augmented Reality;Proceedings of the 3rd International Conference on Applications of Intelligent Systems;Las Palmas de Gran Canaria, Spain;10.1145/3378184.3378218
A. Cuadra, S. Li, H. Lee, J. Cho and W. Ju;2021;My Bad! Repairing Intelligent Voice Assistant Errors Improves Interaction;Proc. ACM Hum.-Comput. Interact.;;10.1145/3449101
C. S. M. Currie and T. Monks;2018;Modeling diseases: prevention, cure and management;Proceedings of the 2018 Winter Simulation Conference;Gothenburg, Sweden;
