"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Alzheimer's disease diagnosis from structural MRI using Siamese convolutional neural network","M. Amin-Naji; H. Mahdavinataj; A. Aghagolzadeh","Faculty of Electrical and Computer Engineering, Babol Noshirvani University of Technology, Babol, Iran; Faculty of Electrical and Computer Engineering, Babol Noshirvani University of Technology, Babol, Iran; Faculty of Electrical and Computer Engineering, Babol Noshirvani University of Technology, Babol, Iran","2019 4th International Conference on Pattern Recognition and Image Analysis (IPRIA)","5 Aug 2019","2019","","","75","79","Deep learning (DL) methods have been recently utilized in medical imaging diagnosis and prognosis, which have significantly improved the performance of algorithms. As Alzheimer's Disease (AD) is one of the most financial costly diseases, many researchers have concentrated on introducing a high accuracy automated algorithm for classifying the AD and the Normal Control (NC) cases. In this paper we proposed a new deep learning based automated method for Alzheimer's disease diagnosis. Among the DL networks, the Siamese Convolutional Neural Network (SCNN) is implemented with three branches of ResNet-34 to discriminate between the AD and NC from the Structural Magnetic Resonance Imaging (sMRI). We selected 235 subjects from OASIS dataset. The proposed method achieved the accuracy of 98.72%. The proposed method has the best performance compared with the previous state of the art methods.","2049-3630","978-1-7281-1621-1","10.1109/PRIA.2019.8786031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8786031","Alzheimer's Disease;Deep Learning;Siamese Convolutional Neural Network;Structural MRI","Alzheimer's disease;Convolutional neural networks;Training;Magnetic resonance imaging;Medical diagnosis","biomedical MRI;convolutional neural nets;diseases;learning (artificial intelligence);medical image processing","Alzheimer disease diagnosis;structural magnetic resonance imaging;medical imaging prognosis;normal control cases;ResNet-34 branches;OASIS dataset;DL networks;high accuracy automated algorithm;medical imaging diagnosis;deep learning methods;Siamese convolutional neural network;structural MRI","","","","31","","5 Aug 2019","","","IEEE","IEEE Conferences"
"Alzheimer's Disease and Dementia Detection from 3D Brain MRI Data Using Deep Convolutional Neural Networks","H. M. T. Ullah; Z. Onik; R. Islam; D. Nandi","Faculty of Science & Information Technology, American International University, Bangladesh Dhaka, Bangladesh; Faculty of Science & Information Technology, American International University, Bangladesh Dhaka, Bangladesh; McGill University, School of Computer Science, Montreal, Canada; Faculty of Science & Information Technology, American International University, Bangladesh Dhaka, Bangladesh","2018 3rd International Conference for Convergence in Technology (I2CT)","11 Nov 2018","2018","","","1","3","As reported by the the Alzheimer's Association, there are more than 5 million Americans living with Alzheimer's today, with an anticipated 16 million by 2050. The neurodegenerative disease is currently the 6th leading source of death in the US. In 2017 this disease would cost the nation $1.1 trillion. 1 in 3 seniors die in Alzheimer's disease or another dementia. It kills more than breast cancer and prostate cancer combined. [14] As of the this papers writing, detecting Alzheimer's is a difficult and time consuming task, but requires brain imaging report and human expertise. Needless to say, this conventional approach to detect Alzheimer's is costly and often error prone. In this paper an alternative approach has been discussed, that is fast, costs less and more reliable. Deep Learning represents the true bleeding edge of Machine Intelligence. Convolutional Neural Networks are biologically inspired Multilayer perceptron specially capable of image processing. In this paper we present a state of the art Deep Convolutional Neural Network to detect Alzheimer's Disease and Dementia from 3D MRI image.","","978-1-5386-4273-3","10.1109/I2CT.2018.8529808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529808","Neural Networks;Deep Learning;3D Brain MRI;Alzheimer's Disease And Dementia;Machine Learning;Big Data;High Dimensional Input","Alzheimer's disease;Magnetic resonance imaging;Three-dimensional displays;Biological neural networks","biological tissues;biomedical MRI;brain;cancer;diseases;image classification;learning (artificial intelligence);medical diagnostic computing;medical image processing;neural nets;neurophysiology","deep convolutional neural networks;Alzheimer disease;deep convolutional neural network;3D MRI image;brain imaging report;prostate cancer;breast cancer;neurodegenerative disease;3D brain MRI data;Alzheimer's Disease","","","","15","","11 Nov 2018","","","IEEE","IEEE Conferences"
"A Deep Decomposition of MRI to Explore Neurodegeneration in Alzheimer’s Disease","F. J. Martínez-Murcia; J. M. Górriz; J. Ramírez; D. Castillo-Barnes; F. Segovia; D. Salas-González; A. Ortiz","Department of Signal Theory, University of Granada, Granada, 18071, Spain; Department of Signal Theory, University of Granada, Granada, 18071, Spain; Department of Signal Theory, University of Granada, Granada, 18071, Spain; Department of Signal Theory, University of Granada, Granada, 18071, Spain; Department of Signal Theory, University of Granada, Granada, 18071, Spain; Department of Signal Theory, University of Granada, Granada, 18071, Spain; Department of Communications Engineering, University of Malaga, Spain","2018 IEEE Nuclear Science Symposium and Medical Imaging Conference Proceedings (NSS/MIC)","5 Sep 2019","2018","","","1","3","Deep learning has revolutionized data analysis and particularly medical imaging, providing unprecedented insight to non-linear features. Image decomposition techniques such as Principal Component Analysis have been used for a long time, evolving towards complex non-linear decomposition algorithms. Convolutional networks, and particularly convolutional autoen-coders are known for providing high-level abstract features that describe the internal distribution of data in high-dimensional manifolds. In this work, we aim at gaining a deeper understanding the progression of the disease by predicting neuropsycho-logical test outcomes based solely on MRI data. In order to do so, we perform a self-supervised decomposition of the MRI data using a deep convolutional autoencoder. The distribution of features in the z-layer is then used within a neural network based regression, in order to test whether these imaging-derived biomarkers are related to several neuropsychological tests. The prediction of neuropsychological test outcomes achieved R2 rates up to more than 0.3, with correlations higher than 0.5 in the case of variables heavily linked to neurogedeneration and cognitive state such as the MMSE or the ADAS11 scores.","2577-0829","978-1-5386-8494-8","10.1109/NSSMIC.2018.8824320","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8824320","Magnetic Resonance Imaging;Alzheimer’s Disease;Subspace Analysis;Convolutional Neural Networks;Deep Neural Networks;Regression Analysis","Alzheimer's disease;Biomedical imaging;Magnetic resonance imaging;Convolutional neural networks;Convolutional codes;Correlation","biomedical MRI;cognition;convolutional neural nets;data analysis;diseases;learning (artificial intelligence);medical image processing;neurophysiology;regression analysis","medical imaging;convolutional autoencoders;Alzheimer's disease;MMSE;neural network based regression;deep convolutional autoencoder;self-supervised decomposition;MRI data;high-dimensional manifolds;convolutional networks;nonlinear decomposition algorithms;image decomposition techniques;nonlinear features;data analysis;deep learning;neuropsychological tests;imaging-derived biomarkers","","","","13","","5 Sep 2019","","","IEEE","IEEE Conferences"
"Early Prediction Of Alzheimer’s Disease Dementia Based On Baseline Hippocampal MRI and 1-Year Follow-Up Cognitive Measures Using Deep Recurrent Neural Networks","H. Li; Y. Fan","Alzheimer’s Disease Neuroimaging Initiative, University of Pennsylvania, Philadelphia, PA, 19104, USA; Alzheimer’s Disease Neuroimaging Initiative, University of Pennsylvania, Philadelphia, PA, 19104, USA","2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019)","11 Jul 2019","2019","","","368","371","Multi-modal biological, imaging, and neuropsychological markers have demonstrated promising performance for distinguishing Alzheimer's disease (AD) patients from cognitively normal elders. However, it remains difficult to early predict when and which mild cognitive impairment (MCI) individuals will convert to AD dementia. Informed by pattern classification studies which have demonstrated that pattern classifiers built on longitudinal data could achieve better classification performance than those built on cross-sectional data, we develop a deep learning model based on recurrent neural networks (RNNs) to learn informative representation and temporal dynamics of longitudinal cognitive measures of individual subjects and combine them with baseline hippocampal MRI for building a prognostic model of AD dementia progression. Experimental results on a large cohort of MCI subjects have demonstrated that the deep learning model could learn informative measures from longitudinal data for characterizing the progression of MCI subjects to AD dementia, and the prognostic model could early predict AD progression with high accuracy.","1945-8452","978-1-5386-3641-1","10.1109/ISBI.2019.8759397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8759397","Prognosis;recurrent neural networks;longitudinal data;Alzheimer’s disease","Predictive models;Data models;Magnetic resonance imaging;Alzheimer's disease","biomedical MRI;brain;cognition;diseases;geriatrics;image classification;learning (artificial intelligence);medical disorders;medical image processing;neurophysiology;recurrent neural nets","classification performance;cross-sectional data;deep learning model;informative representation;temporal dynamics;longitudinal cognitive measures;AD dementia progression;MCI subjects;informative measures;longitudinal data;deep recurrent neural networks;neuropsychological markers;cognitively normal elders;mild cognitive impairment individuals;pattern classification studies;hippocampal MRI;Alzheimer disease dementia","","","","22","","11 Jul 2019","","","IEEE","IEEE Conferences"
"Classification of Alzheimer’s Disease from MRI Data Using an Ensemble of Hybrid Deep Convolutional Neural Networks","E. Jabason; M. O. Ahmad; M. N. S. Swamy","Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, H3G 1M8, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, H3G 1M8, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, H3G 1M8, Canada","2019 IEEE 62nd International Midwest Symposium on Circuits and Systems (MWSCAS)","31 Oct 2019","2019","","","481","484","Although there is no cure for Alzheimer's disease (AD), an accurate early diagnosis is extremely important for both the patient and social care, and it will become even more significant once disease-modifying agents are available to prevent, cure, or even slow down the progression of the disease. In recent years, classification of AD through deep learning techniques has been one of the most active research areas in the medical field. However, most of the existing techniques cannot leverage the entire spatial information; hence, they lose the inter-slice correlation. In this paper, we propose a novel classification algorithm to discriminate patients having AD, mild cognitive impairment (MCI), and cognitively normal (CN) using an ensemble of hybrid deep learning architectures to leverage a more complete spatial information from the MRI data. The experimental results obtained by applying the proposed algorithm on the OASIS dataset show that the performance of the proposed classification framework to be superior to that of the some conventional methods.","1558-3899","978-1-7281-2788-0","10.1109/MWSCAS.2019.8884939","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8884939","Alzheimer’s Disease;MRI Data;Deep Convolutional Neural Networks;Classification","Magnetic resonance imaging;Feature extraction;Training;Alzheimer's disease;Deep learning","biomedical MRI;cognition;convolutional neural nets;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neurophysiology","cognitively normal;mild cognitive impairment;classification framework;hybrid deep learning architectures;novel classification algorithm;inter-slice correlation;medical field;deep learning techniques;disease-modifying agents;patient diagnosis;hybrid deep convolutional neural networks;MRI data;Alzheimer disease","","1","","21","","31 Oct 2019","","","IEEE","IEEE Conferences"
"Hierarchical Fully Convolutional Network for Joint Atrophy Localization and Alzheimer's Disease Diagnosis Using Structural MRI","C. Lian; M. Liu; J. Zhang; D. Shen","Department of Radiology and BRIC, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA","IEEE Transactions on Pattern Analysis and Machine Intelligence","9 Mar 2020","2020","42","4","880","893","Structural magnetic resonance imaging (sMRI) has been widely used for computer-aided diagnosis of neurodegenerative disorders, e.g., Alzheimer's disease (AD), due to its sensitivity to morphological changes caused by brain atrophy. Recently, a few deep learning methods (e.g., convolutional neural networks, CNNs) have been proposed to learn task-oriented features from sMRI for AD diagnosis, and achieved superior performance than the conventional learning-based methods using hand-crafted features. However, these existing CNN-based methods still require the pre-determination of informative locations in sMRI. That is, the stage of discriminative atrophy localization is isolated to the latter stages of feature extraction and classifier construction. In this paper, we propose a hierarchical fully convolutional network (H-FCN) to automatically identify discriminative local patches and regions in the whole brain sMRI, upon which multi-scale feature representations are then jointly learned and fused to construct hierarchical classification models for AD diagnosis. Our proposed H-FCN method was evaluated on a large cohort of subjects from two independent datasets (i.e., ADNI-1 and ADNI-2), demonstrating good performance on joint discriminative atrophy localization and brain disease diagnosis.","1939-3539","","10.1109/TPAMI.2018.2889096","NIH; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585141","Computer-aided alzheimer's disease diagnosis;fully convolutional networks;discriminative atrophy localization;weakly-supervised learning;structural MRI","Feature extraction;Solid modeling;Atrophy;Brain modeling;Alzheimer's disease;Medical diagnosis;Support vector machines","biomedical MRI;brain;diseases;feature extraction;image classification;image representation;learning (artificial intelligence);medical image processing","hierarchical fully convolutional network;Alzheimer disease diagnosis;structural MRI;structural magnetic resonance imaging;computer-aided diagnosis;morphological changes;brain atrophy;deep learning methods;convolutional neural networks;task-oriented features;AD diagnosis;conventional learning-based methods;hand-crafted features;feature extraction;classifier construction;brain sMRI;multiscale feature representations;hierarchical classification models;H-FCN method;joint discriminative atrophy localization;brain disease diagnosis;CNN-based methods","Aged;Aged, 80 and over;Alzheimer Disease;Atrophy;Brain;Female;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Male;Neural Networks, Computer;Supervised Machine Learning","11","","71","IEEE","21 Dec 2018","","","IEEE","IEEE Journals"
"Automated Classification of Alzheimer’s Disease using Deep Neural Network (DNN) by Random Forest Feature Elimination","D. Manzak; G. Çetinel; A. Manzak","Dept. of Electronics Engineering, Sakarya University, Sakarya, Turkey; Dept. of Electronics Engineering, Sakarya University, Sakarya, Turkey; Dept. of Electrical & Computer Engineering, University of Detroit Mercy, Detroit, U.S.A.","2019 14th International Conference on Computer Science & Education (ICCSE)","23 Sep 2019","2019","","","1050","1053","Determining Alzheimer's Disease (AD) in its early stages is very important to prepare proper care for the patient. In this study, we aimed to create fast and accurate automated classification system to determine AD with the minimum data collected from the patient. Magnetic Resonance Imaging (MRI) is widely used to diagnose AD. When the cost of the technique and risks of the procedures are considered, there is a need for different solutions. With the availability of neural network chips, it is even possible to build portable devices for Alzheimer's detection. We propose fast and successful method to detect Alzheimer using Deep Neural Network (DNN). To reduce the complexity of the algorithm, Random Forest method was used to eliminate some of the features. Success of Random Forest to eliminate the features and success of DNN to detect AD are discussed.","2473-9464","978-1-7281-1846-8","10.1109/ICCSE.2019.8845325","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845325","Alzheimer’s Disease;Deep Neural Network;Feature Selection;Random Forest","Biological neural networks;Alzheimer's disease;Magnetic resonance imaging;Feature extraction","biomedical MRI;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neural nets","magnetic resonance imaging;deep neural network;Alzheimer's disease;random forest feature elimination;DNN;fast automated classification system;neural network chips;minimum data;accurate automated classification system","","","","10","","23 Sep 2019","","","IEEE","IEEE Conferences"
"Shearlet based Stacked Convolutional Network for Multiclass Diagnosis of Alzheimer’s Disease using the Florbetapir PET Amyloid Imaging Data","E. Jabason; M. O. Ahmad; M. N. S. Swamy","Department of Electrical and Computer Engineering, Concordia University, Montreal, Quebec, H3G 1M8, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, Quebec, H3G 1M8, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, Quebec, H3G 1M8, Canada","2018 16th IEEE International New Circuits and Systems Conference (NEWCAS)","23 Dec 2018","2018","","","344","347","Although there is no cure for Alzheimer's disease (AD), an accurate early diagnosis is essential for health and social care, and will be of great significance when the course of the disease could be reversed through treatment options. Florbetapir positron emission tomography (18F-AV-45 PET) is proven to be the most powerful imaging technique to investigate the deposition of amyloid plaques, one of the potential hallmarks of AD, signifying the onset of AD before it changes the brains structure. In this paper, we propose a novel classification algorithm to discriminate the patients having AD, early mild cognitive impairment (MCI), late MCI, and normal control in 18F-AV-45 PET using shearlet based deep convolutional neural network (CNN). It is known that the conventional CNNs involve convolution and pooling layers, which in fact produce the smoothed representation of data, and this results in losing detailed information. In view of this fact, the conventional CNN is integrated with shearlet transform incorporating the multiresolution details of the data. Once the model is pretrained to transform the input data into a better stacked representation, the resulting final layer is passed to softmax classifier, which returns the probabilities of each class. Through experimental results, it is shown that the performance of the proposed classification framework is superior to that of the traditional CNN in Alzheimer's disease neuroimaging initiative (ADNI) database in terms of classification accuracy. As a result, it has the potential to distinguish the different stages of AD progression with less clinical prior information.","","978-1-5386-4859-9","10.1109/NEWCAS.2018.8585550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8585550","Alzheimer’s disease (AD);Florbetapir positron emission tomography (¹⁸F-AV-45 PET) amyloid imaging;Shearlet transform (ST);Convolutional neural network (CNN);Softmax;Deep learning","Positron emission tomography;Feature extraction;Alzheimer's disease;Transforms;Databases","biomedical MRI;brain;cognition;diseases;feature extraction;image classification;medical disorders;medical image processing;neural nets;neurophysiology;patient diagnosis;positron emission tomography","convolutional network;multiclass diagnosis;florbetapir pet amyloid imaging data;accurate early diagnosis;treatment options;florbetapir positron emission tomography;F-AV-45 PET;powerful imaging technique;amyloid plaques;brains structure;novel classification algorithm;early mild cognitive impairment;late MCI;normal control;deep convolutional neural network;convolution;pooling layers;smoothed representation;multiresolution details;input data;stacked representation;classification framework;traditional CNN;Alzheimer disease neuroimaging initiative","","","","16","","23 Dec 2018","","","IEEE","IEEE Conferences"
"Volumetric Feature-Based Alzheimer’s Disease Diagnosis From sMRI Data Using a Convolutional Neural Network and a Deep Neural Network","A. Basher; B. C. Kim; K. H. Lee; H. Y. Jung","Department of Computer Engineering, Chosun University, Gwangju, South Korea; Gwangju Alzheimer’s disease and Related Dementias Cohort Research Center, Chosun University, Gwangju, South Korea; Gwangju Alzheimer’s disease and Related Dementias Cohort Research Center, Chosun University, Gwangju, South Korea; Department of Computer Engineering, Chosun University, Gwangju, South Korea","IEEE Access","23 Feb 2021","2021","9","","29870","29882","Alzheimer's disease (AD) is a progressive neurodegenerative disorder that is mostly prevalent in people older than 65 years. The hippocampus is a widely studied region of interest (ROI) for a number of reasons, such as memory function analysis, stress development observation and neurological disorder investigation. Moreover, hippocampal volume atrophy is known to be linked with Alzheimer's disease. On the other hand, several biomarkers, such as amyloid beta (aß42) protein, tau, phosphorylated tau and hippocampal volume atrophy, are being used to diagnose AD. In this research work, we have proposed a method to diagnose AD based on slice-wise volumetric features extracted from the left and right hippocampi of structural magnetic resonance imaging (sMRI) data. The proposed method is an aggregation of a convolutional neural network (CNN) model with a deep neural network (DNN) model. The left and right hippocampi have been localized automatically using a two-stage ensemble Hough-CNN. The localized hippocampal positions are used to extract (80 × 80x80 voxels) 3-D patches. The 2-D slices are then separated from the 3-D patches along axial, sagittal, and coronal views. The pre-processed 2-D patches are used to extract volumetric features from each slice by using a discrete volume estimation convolutional neural network (DVE-CNN) model. The extracted volumetric features have been used to train and test the classification network. The proposed approach has achieved average weighted classification accuracies of 94.82% and 94.02% based on the extracted volumetric features attributed to the left and right hippocampi, respectively. In addition, it has achieved area under the curve (AUC) values of 92.54% and 90.62% for the left and right hippocampi, respectively. Our method has outperformed the other methods by a certain margin in the same dataset.","2169-3536","","10.1109/ACCESS.2021.3059658","National Research Foundation of Korea (NRF) Grant funded by the Korean Government through MSIT; Research Fund of Chosun University 2020; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354805","Hippocampus;volumetric features;2-D/3-D patches;hough-CNN;CNN;DNN;MRI;Alzheimer’s disease;classification;knowledge transfer","Feature extraction;Diseases;Alzheimer's disease;Biomarkers;Hippocampus;Brain modeling;Atrophy","biomedical MRI;brain;convolutional neural nets;diseases;feature extraction;image classification;medical disorders;medical image processing;molecular biophysics;neurophysiology;proteins","left hippocampi;right hippocampi;volumetric feature-based Alzheimer's disease diagnosis;sMRI data;neurodegenerative disorder;memory function analysis;neurological disorder;hippocampal volume atrophy;amyloid beta protein;slice-wise volumetric features;structural magnetic resonance imaging data;deep neural network model;localized hippocampal positions;discrete volume estimation convolutional neural network;DVE-CNN;classification network;two-stage ensemble Hough-CNN","","","","65","CCBY","16 Feb 2021","","","IEEE","IEEE Journals"
"Alzheimer’s disease Classification from Brain MRI based on transfer learning from CNN","B. Khagi; C. G. Lee; G. Kwon","Department of Information and Communication Engineering, Chosun University, Dong-Gu, Gwangju 501-759, Republic of Korea; Department of Electronics, Chosun University, Dong-Gu, Gwangju 501-759, Republic of Korea; Department of Information and Communication Engineering, Chosun University, Dong-Gu, Gwangju 501-759, Republic of Korea","2018 11th Biomedical Engineering International Conference (BMEiCON)","13 Jan 2019","2018","","","1","4","Various Convolutional Neural Network (CNN) architecture has been proposed for image classification and Object recognition. For the image based classification, it is a complex task for CNN to deal with hundreds of MRI Image slices, each of almost identical nature in a single patient. So, classifying a number of patients as an AD, MCI or NC based on 3D MRI becomes vague technique using 2D CNN architecture. Hence, to address this issue, we have simplified the idea of classifying patients on basis of 3D MRI but acknowledging the 2D features generated from the CNN framework. We present our idea regarding how to obtain 2D features from MRI and transform it to be applicable to classify using machine learning algorithm. Our experiment shows the result of classifying 3 class subjects patients. We employed scratched trained CNN or pretrained Alexnet CNN as generic feature extractor of 2D image which dimensions were reduced using PCA+TSNE, and finally classifying using simple Machine learning algorithm like KNN, Navies Bayes Classifier. Although the result is not so impressive but it definitely shows that this can be better than scratch trained CNN softmax classification based on probability score. The generated feature can be well manipulated and refined for better accuracy, sensitivity, and specificity.","2334-3052","978-1-5386-5724-9","10.1109/BMEiCON.2018.8609974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8609974","CNN;MRI;generic feature;PCA;TSNE;Classifier","Magnetic resonance imaging;Feature extraction;Alzheimer's disease;Training;Convolutional neural networks;Biomedical imaging","Bayes methods;biomedical MRI;brain;convolutional neural nets;diseases;feature extraction;image classification;image segmentation;learning (artificial intelligence);medical image processing;object recognition;principal component analysis","Brain MRI;transfer learning;image classification;CNN framework;Alexnet CNN;CNN softmax classification;Alzheimer's disease classification;simple machine learning algorithm;naive Bayes classifier;MRI image slices;convolutional neural network architecture;probability score","","1","","14","","13 Jan 2019","","","IEEE","IEEE Conferences"
