PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30128693","SPECT and PET imaging in Alzheimer's disease","Valotassiou V, Malamitsi J, Papatriantafyllou J, Dardiotis E, Tsougos I, Psimadas D, Alexiou S, Hadjigeorgiou G, Georgoulias P.","Ann Nucl Med. 2018 Nov;32(9):583-593. doi: 10.1007/s12149-018-1292-6. Epub 2018 Aug 20.","Valotassiou V","Ann Nucl Med","2018","2018/08/22","","","10.1007/s12149-018-1292-6"
"30367272","Diagnosis and Management of Neuropsychiatric Symptoms in Alzheimer's Disease","Wolinsky D, Drake K, Bostwick J.","Curr Psychiatry Rep. 2018 Oct 27;20(12):117. doi: 10.1007/s11920-018-0978-8.","Wolinsky D","Curr Psychiatry Rep","2018","2018/10/28","","","10.1007/s11920-018-0978-8"
"31481890","Deep Learning in Alzheimer's Disease: Diagnostic Classification and Prognostic Prediction Using Neuroimaging Data","Jo T, Nho K, Saykin AJ.","Front Aging Neurosci. 2019 Aug 20;11:220. doi: 10.3389/fnagi.2019.00220. eCollection 2019.","Jo T","Front Aging Neurosci","2019","2019/09/05","PMC6710444","","10.3389/fnagi.2019.00220"
"30398430","A Deep Learning Model to Predict a Diagnosis of Alzheimer Disease by Using (18)F-FDG PET of the Brain","Ding Y, Sohn JH, Kawczynski MG, Trivedi H, Harnish R, Jenkins NW, Lituiev D, Copeland TP, Aboian MS, Mari Aparici C, Behr SC, Flavell RR, Huang SY, Zalocusky KA, Nardo L, Seo Y, Hawkins RA, Hernandez Pampaloni M, Hadley D, Franc BL.","Radiology. 2019 Feb;290(2):456-464. doi: 10.1148/radiol.2018180958. Epub 2018 Nov 6.","Ding Y","Radiology","2019","2018/11/07","PMC6358051","","10.1148/radiol.2018180958"
"30597624","Longitudinal tau accumulation and atrophy in aging and alzheimer disease","Harrison TM, La Joie R, Maass A, Baker SL, Swinnerton K, Fenton L, Mellinger TJ, Edwards L, Pham J, Miller BL, Rabinovici GD, Jagust WJ.","Ann Neurol. 2019 Feb;85(2):229-240. doi: 10.1002/ana.25406. Epub 2019 Jan 17.","Harrison TM","Ann Neurol","2019","2019/01/01","PMC6579738","NIHMS1021846","10.1002/ana.25406"
"30584016","Automated classification of Alzheimer's disease and mild cognitive impairment using a single MRI and deep neural networks","Basaia S, Agosta F, Wagner L, Canu E, Magnani G, Santangelo R, Filippi M; Alzheimer's Disease Neuroimaging Initiative.","Neuroimage Clin. 2019;21:101645. doi: 10.1016/j.nicl.2018.101645. Epub 2018 Dec 18.","Basaia S","Neuroimage Clin","2019","2018/12/26","PMC6413333","","10.1016/j.nicl.2018.101645"
"32357201","Development and validation of an interpretable deep learning framework for Alzheimer's disease classification","Qiu S, Joshi PS, Miller MI, Xue C, Zhou X, Karjadi C, Chang GH, Joshi AS, Dwyer B, Zhu S, Kaku M, Zhou Y, Alderazi YJ, Swaminathan A, Kedar S, Saint-Hilaire MH, Auerbach SH, Yuan J, Sartor EA, Au R, Kolachalama VB.","Brain. 2020 Jun 1;143(6):1920-1933. doi: 10.1093/brain/awaa137.","Qiu S","Brain","2020","2020/05/02","PMC7296847","","10.1093/brain/awaa137"
"31721283","Midlife Atherosclerosis and Development of Alzheimer or Vascular Dementia","Gustavsson AM, van Westen D, Stomrud E, Engström G, Nägga K, Hansson O.","Ann Neurol. 2020 Jan;87(1):52-62. doi: 10.1002/ana.25645. Epub 2019 Nov 27.","Gustavsson AM","Ann Neurol","2020","2019/11/14","PMC6973178","","10.1002/ana.25645"
"31739167","What electrophysiology tells us about Alzheimer's disease: a window into the synchronization and connectivity of brain neurons","Babiloni C, Blinowska K, Bonanni L, Cichocki A, De Haan W, Del Percio C, Dubois B, Escudero J, Fernández A, Frisoni G, Guntekin B, Hajos M, Hampel H, Ifeachor E, Kilborn K, Kumar S, Johnsen K, Johannsson M, Jeong J, LeBeau F, Lizio R, Lopes da Silva F, Maestú F, McGeown WJ, McKeith I, Moretti DV, Nobili F, Olichney J, Onofrj M, Palop JJ, Rowan M, Stocchi F, Struzik ZM, Tanila H, Teipel S, Taylor JP, Weiergräber M, Yener G, Young-Pearse T, Drinkenburg WH, Randall F.","Neurobiol Aging. 2020 Jan;85:58-73. doi: 10.1016/j.neurobiolaging.2019.09.008. Epub 2019 Sep 19.","Babiloni C","Neurobiol Aging","2020","2019/11/19","","","10.1016/j.neurobiolaging.2019.09.008"
"30127711","Classification and Prediction of Brain Disorders Using Functional Connectivity: Promising but Challenging","Du Y, Fu Z, Calhoun VD.","Front Neurosci. 2018 Aug 6;12:525. doi: 10.3389/fnins.2018.00525. eCollection 2018.","Du Y","Front Neurosci","2018","2018/08/22","PMC6088208","","10.3389/fnins.2018.00525"
"29562524","Revolution of Alzheimer Precision Neurology. Passageway of Systems Biology and Neurophysiology","Hampel H, Toschi N, Babiloni C, Baldacci F, Black KL, Bokde ALW, Bun RS, Cacciola F, Cavedo E, Chiesa PA, Colliot O, Coman CM, Dubois B, Duggento A, Durrleman S, Ferretti MT, George N, Genthon R, Habert MO, Herholz K, Koronyo Y, Koronyo-Hamaoui M, Lamari F, Langevin T, Lehéricy S, Lorenceau J, Neri C, Nisticò R, Nyasse-Messene F, Ritchie C, Rossi S, Santarnecchi E, Sporns O, Verdooner SR, Vergallo A, Villain N, Younesi E, Garaci F, Lista S; Alzheimer Precision Medicine Initiative (APMI).","J Alzheimers Dis. 2018;64(s1):S47-S105. doi: 10.3233/JAD-179932.","Hampel H","J Alzheimers Dis","2018","2018/03/23","PMC6008221","NIHMS958679","10.3233/JAD-179932"
"30654174","A parameter-efficient deep learning approach to predict conversion from mild cognitive impairment to Alzheimer's disease","Spasov S, Passamonti L, Duggento A, Liò P, Toschi N; Alzheimer's Disease Neuroimaging Initiative.","Neuroimage. 2019 Apr 1;189:276-287. doi: 10.1016/j.neuroimage.2019.01.031. Epub 2019 Jan 14.","Spasov S","Neuroimage","2019","2019/01/18","","","10.1016/j.neuroimage.2019.01.031"
"30617257","Loss of TREM2 function increases amyloid seeding but reduces plaque-associated ApoE","Parhizkar S, Arzberger T, Brendel M, Kleinberger G, Deussing M, Focke C, Nuscher B, Xiong M, Ghasemigharagoz A, Katzmarski N, Krasemann S, Lichtenthaler SF, Müller SA, Colombo A, Monasor LS, Tahirovic S, Herms J, Willem M, Pettkus N, Butovsky O, Bartenstein P, Edbauer D, Rominger A, Ertürk A, Grathwohl SA, Neher JJ, Holtzman DM, Meyer-Luehmann M, Haass C.","Nat Neurosci. 2019 Feb;22(2):191-204. doi: 10.1038/s41593-018-0296-9. Epub 2019 Jan 7.","Parhizkar S","Nat Neurosci","2019","2019/01/09","PMC6417433","NIHMS1512778","10.1038/s41593-018-0296-9"
"32208428","Alzheimer's disease diagnosis from diffusion tensor images using convolutional neural networks","Marzban EN, Eldeib AM, Yassine IA, Kadah YM; Alzheimer’s Disease Neurodegenerative Initiative.","PLoS One. 2020 Mar 24;15(3):e0230409. doi: 10.1371/journal.pone.0230409. eCollection 2020.","Marzban EN","PLoS One","2020","2020/03/26","PMC7092978","","10.1371/journal.pone.0230409"
"33117114","A Survey on Deep Learning for Neuroimaging-Based Brain Disorder Analysis","Zhang L, Wang M, Liu M, Zhang D.","Front Neurosci. 2020 Oct 8;14:779. doi: 10.3389/fnins.2020.00779. eCollection 2020.","Zhang L","Front Neurosci","2020","2020/10/29","PMC7578242","","10.3389/fnins.2020.00779"
"30549303","The impact of amyloid-beta and tau on prospective cognitive decline in older individuals","Sperling RA, Mormino EC, Schultz AP, Betensky RA, Papp KV, Amariglio RE, Hanseeuw BJ, Buckley R, Chhatwal J, Hedden T, Marshall GA, Quiroz YT, Donovan NJ, Jackson J, Gatchel JR, Rabin JS, Jacobs H, Yang HS, Properzi M, Kirn DR, Rentz DM, Johnson KA.","Ann Neurol. 2019 Feb;85(2):181-193. doi: 10.1002/ana.25395. Epub 2019 Jan 21.","Sperling RA","Ann Neurol","2019","2018/12/15","PMC6402593","NIHMS1013270","10.1002/ana.25395"
