Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Eken, A.","35100314400;","Assessment of flourishing levels of individuals by using resting-state fNIRS with different functional connectivity measures",2021,"Biomedical Signal Processing and Control","68",, 102645,"","",,,"10.1016/j.bspc.2021.102645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104083704&doi=10.1016%2fj.bspc.2021.102645&partnerID=40&md5=0798675e0728edb1acc5fe7af7cf69ce",Article,"Final","",Scopus,2-s2.0-85104083704
"Shamsi, E., Ahmadi-Pajouh, M.A., Seifi Ala, T.","57194032594;16174477500;57208256844;","Higuchi fractal dimension: An efficient approach to detection of brain entrainment to theta binaural beats",2021,"Biomedical Signal Processing and Control","68",, 102580,"","",,,"10.1016/j.bspc.2021.102580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103326410&doi=10.1016%2fj.bspc.2021.102580&partnerID=40&md5=aa21593b3bed54af268a077aca2ee6cc",Article,"Final","",Scopus,2-s2.0-85103326410
"Valero, M., Li, F., Zhao, L., Zhang, C., Garrido, J., Han, Z.","56261438400;56573045500;57222569683;57171083500;56238023100;57222647234;","Vibration sensing-based human and infrastructure safety/health monitoring: A survey",2021,"Digital Signal Processing: A Review Journal","114",, 103037,"","",,,"10.1016/j.dsp.2021.103037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103783746&doi=10.1016%2fj.dsp.2021.103037&partnerID=40&md5=909094b35b5434b5802b8aae8535ba43",Article,"Final","",Scopus,2-s2.0-85103783746
"Zhang, X., Yao, L., Wang, X., Monaghan, J., Mcalpine, D., Zhang, Y.","57219750634;54406102800;36189130500;26434339400;7005917811;55977925700;","A survey on deep learning-based non-invasive brain signals: recent advances and new frontiers",2021,"Journal of Neural Engineering","18","3", 031002,"","",,,"10.1088/1741-2552/abc902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103312855&doi=10.1088%2f1741-2552%2fabc902&partnerID=40&md5=420f1832733a92b49be8e1e412d5bd2c",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85103312855
"Hermessi, H., Mourali, O., Zagrouba, E.","57195071385;23392942800;23098555400;","Multimodal medical image fusion review: Theoretical background and recent advances",2021,"Signal Processing","183",, 108036,"","",,,"10.1016/j.sigpro.2021.108036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101535728&doi=10.1016%2fj.sigpro.2021.108036&partnerID=40&md5=337858ba547662bb411361fb02429e01",Review,"Final","",Scopus,2-s2.0-85101535728
"Yousefzadeh, M., Hosseini, S.A., Farnaghi, M.","57206889109;57206189712;24733677800;","Spatiotemporally explicit earthquake prediction using deep neural network",2021,"Soil Dynamics and Earthquake Engineering","144",, 106663,"","",,,"10.1016/j.soildyn.2021.106663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101374483&doi=10.1016%2fj.soildyn.2021.106663&partnerID=40&md5=cdeaa41574f8338c3693f2e9f9bee800",Article,"Final","",Scopus,2-s2.0-85101374483
"Mayya, V., Sowmya Kamath, S., Krishnan, G.S., Gangavarapu, T.","57191037106;57216704186;57203626221;57209027646;","Multi-channel, convolutional attention based neural model for automated diagnostic coding of unstructured patient discharge summaries",2021,"Future Generation Computer Systems","118",,,"374","391",,,"10.1016/j.future.2021.01.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100018423&doi=10.1016%2fj.future.2021.01.013&partnerID=40&md5=8e4bd783b9513bedb99a1a237b528ac5",Article,"Final","",Scopus,2-s2.0-85100018423
"Liu, C., Ji, H., Qiu, A.","57209731610;56152358600;35868417900;","Fast vertex-based graph convolutional neural network and its application to brain images",2021,"Neurocomputing","434",,,"1","10",,,"10.1016/j.neucom.2020.12.097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100154715&doi=10.1016%2fj.neucom.2020.12.097&partnerID=40&md5=5335d1bea70b548349f1c1b71f8f4c7d",Article,"Final","",Scopus,2-s2.0-85100154715
"Abbasi, R., Chen, J., Al-Otaibi, Y., Rehman, A., Abbas, A., Cui, W.","56012561100;55954392200;57213689300;35093155800;57189391152;57221315638;","RDH-based dynamic weighted histogram equalization using for secure transmission and cancer prediction",2021,"Multimedia Systems","27","2",,"177","189",,,"10.1007/s00530-020-00718-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098758044&doi=10.1007%2fs00530-020-00718-w&partnerID=40&md5=6e6ec47e0f5c0a0b72da408eb0def4f2",Article,"Final","",Scopus,2-s2.0-85098758044
"Esposito, C.M., Buoli, M., Ciappolino, V., Agostoni, C., Brambilla, P.","57198427325;23975721300;56856851900;7006061189;57215644762;","The role of cholesterol and fatty acids in the etiology and diagnosis of autism spectrum disorders",2021,"International Journal of Molecular Sciences","22","7", 3550,"","",,,"10.3390/ijms22073550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103119310&doi=10.3390%2fijms22073550&partnerID=40&md5=db7a0693d995ddbff7080f89eb42a7e9",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85103119310
