Authors;Author Full Names;Article Title;Source Title;Abstract;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;DOI;Publication Type
"Tzimourta, KD; Christou, V; Tzallas, AT; Giannakeas, N; Astrakas, LG; Angelidis, P; Tsalikakis, D; Tsipouras, MG";"Tzimourta, Katerina D.; Christou, Vasileios; Tzallas, Alexandros T.; Giannakeas, Nikolaos; Astrakas, Loukas G.; Angelidis, Pantelis; Tsalikakis, Dimitrios; Tsipouras, Markos G.";Machine Learning Algorithms and Statistical Approaches for Alzheimer's Disease Analysis Based on Resting-State EEG Recordings: A Systematic Review;INTERNATIONAL JOURNAL OF NEURAL SYSTEMS;Alzheimer's Disease (AD) is a neurodegenerative disorder and the most common type of dementia with a great prevalence in western countries. The diagnosis of AD and its progression is performed through a variety of clinical procedures including neuropsychological and physical examination, Electroencephalographic (EEG) recording, brain imaging and blood analysis. During the last decades, analysis of the electrophysiological dynamics in AD patients has gained great research interest, as an alternative and cost-effective approach. This paper summarizes recent publications focusing on (a) AD detection and (b) the correlation of quantitative EEG features with AD progression, as it is estimated by Mini Mental State Examination (MMSE) score. A total of 49 experimental studies published from 2009 until 2020, which apply machine learning algorithms on resting state EEG recordings from AD patients, are reviewed. Results of each experimental study are presented and compared. The majority of the studies focus on AD detection incorporating Support Vector Machines, while deep learning techniques have not yet been applied on large EEG datasets. Promising conclusions for future studies are presented.;0129-0657;1793-6462;;MAY;2021;31;10.1142/S0129065721300023;J
"Zhang, J; Zheng, BW; Gao, A; Feng, X; Liang, D; Long, XJ";"Zhang, Jie; Zheng, Bowen; Gao, Ang; Feng, Xin; Liang, Dong; Long, Xiaojing";A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer ? s disease classification;MAGNETIC RESONANCE IMAGING;"Purpose: Alzheimer & rsquo;s disease (AD) is a progressive and irreversible neurodegenerative disease. In recent years, machine learning methods have been widely used on analysis of neuroimage for quantitative evaluation and computer-aided diagnosis of AD or prediction on the conversion from mild cognitive impairment (MCI) to AD. In this study, we aimed to develop a new deep learning method to detect or predict AD in an efficient way. Materials and methods: We proposed a densely connected convolution neural network with connection-wise attention mechanism to learn the multi-level features of brain MR images for AD classification. We used the densely connected neural network to extract multi-scale features from pre-processed images, and connection wise attention mechanism was applied to combine connections among features from different layers to hierarchically transform the MR images into more compact high-level features. Furthermore, we extended the convolution operation to 3D to capture the spatial information of MRI. The features extracted from each 3D convolution layer were integrated with features from all preceding layers with different attention, and were finally used for classification. Our method was evaluated on the baseline MRI of 968 subjects from ADNI database to discriminate (1) AD versus healthy subjects, (2) MCI converters versus healthy subjects, and (3) MCI converters versus non-converters. Results: The proposed method achieved 97.35% accuracy for distinguishing AD patients from healthy control, 87.82% for MCI converters against healthy control, and 78.79% for MCI converters against non-converters. Compared with some neural networks and methods reported in recent studies, the classification performance of our proposed algorithm was among the top ranks and improved in discriminating MCI subjects who were in high risks of conversion to AD. Conclusions: Deep learning techniques provide a powerful tool to explore minute but intricate characteristics in MR images which may facilitate early diagnosis and prediction of AD.";0730-725X;1873-5894;;MAY;2021;78;10.1016/j.mri.2021.02.001;J
"Mehmood, A; Yang, SY; Feng, ZX; Wang, M; Ahmad, A; Khan, RW; Maqsood, M; Yaqub, M";"Mehmood, Atif; Yang, Shuyuan; Feng, Zhixi; Wang, Min; Ahmad, Al Smadi; Khan, Rizwan; Maqsood, Muazzam; Yaqub, Muhammad";A Transfer Learning Approach for Early Diagnosis of Alzheimer?s Disease on MRI Images;NEUROSCIENCE;Mild cognitive impairment (MCI) detection using magnetic resonance image (MRI), plays a crucial role in the treatment of dementia disease at an early stage. Deep learning architecture produces impressive results in such research. Algorithms require a large number of annotated datasets for training the model. In this study, we overcome this issue by using layer-wise transfer learning as well as tissue segmentation of brain images to diagnose the early stage of Alzheimer's disease (AD). In layer-wise transfer learning, we used the VGG architecture family with pre-trained weights. The proposed model segregates between normal control (NC), the early mild cognitive impairment (EMCI), the late mild cognitive impairment (LMCI), and the AD. In this paper, 85 NC patients, 70 EMCI, 70 LMCI, and 75 AD patients access form the Alzheimer's Disease Neuroimaging Initiative (ADNI) database. Tissue segmentation was applied on each subject to extract the gray matter (GM) tissue. In order to check the validity, the proposed method is tested on preprocessing data and achieved the highest rates of the classification accuracy on AD vs NC is 98.73%, also distinguish between EMCI vs LMCI patients testing accuracy 83.72%, whereas remaining classes accuracy is more than 80%. Finally, we provide a comparative analysis with other studies which shows that the proposed model outperformed the state-of-the-art models in terms of testing accuracy. (C) 2021 Published by Elsevier Ltd on behalf of IBRO.;0306-4522;1873-7544;;APR 15;2021;460;10.1016/j.neuroscience.2021.01.002;J
"Ahmadi, H; Fatemizadeh, E; Motie-Nasrabadi, A";"Ahmadi, Hessam; Fatemizadeh, Emad; Motie-Nasrabadi, Ali";Deep sparse graph functional connectivity analysis in AD patients using fMRI data;COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE;"Functional magnetic resonance imaging (fMRI) is a non-invasive method that helps to analyze brain func-tion based on BOLD signal fluctuations. Functional Connectivity (FC) catches the transient relationship between various brain regions usually measured by correlation analysis. The elements of the correlation matrix are between-1 to 1. Some of them are very small values usually related to weak and spurious correlations due to noises and artifacts. They can not be concluded as real strong correlations between brain regions and their existence could make a misconception and leads to fake results. It is crucial to make a conclusion based on reliable and informative correlations. In order to eliminate weak correla-tions, thresholding is a common method. In this routine, by adjusting a threshold the values below the threshold turn to zero and the rest remains. In this paper, in addition to thresholding, two other meth-ods including spectral sparsification based on Effective Resistance (ER) and autoencoders are investigated for sparsing the correlation matrices. Autoencoders are based on deep learning neural networks and ER considers the network as a resistive circuit. The fMRI data of the study correspond to Alzheimer & rsquo;s pa-tients and control subjects. Graph global measures are calculated and a non-parametric permutation test is reported. Results show that the autoencoder and spectral sparsification achieved more distinctive brain graphs between healthy and AD subjects. Also, more graph global features were significantly different from these two methods due to better elimination of weak correlations and preserve more informa-tive ones. Regardless of the sparsification method features including average strength, clustering, local efficiency, modularity, and transitivity are significantly different (P-value= 0.05). On the other hand, the measures radius, diameter, and eccentricity showed no significant differences in none of the methods. In addition, according to three different methods, the brain regions show fragile and solid FCs are deter-mined. (c) 2021 Elsevier B.V. All rights reserved.";0169-2607;1872-7565;;APR;2021;201;10.1016/j.cmpb.2021.105954;J
"He, YX; Wu, J; Zhou, L; Chen, Y; Li, F; Qian, HJ";"He, Yanxian; Wu, Jun; Zhou, Li; Chen, Yi; Li, Fang; Qian, Hongjin";Quantification of Cognitive Function in Alzheimer's Disease Based on Deep Learning;FRONTIERS IN NEUROSCIENCE;Alzheimer disease (AD) is mainly manifested as insidious onset, chronic progressive cognitive decline and non-cognitive neuropsychiatric symptoms, which seriously affects the quality of life of the elderly and causes a very large burden on society and families. This paper uses graph theory to analyze the constructed brain network, and extracts the node degree, node efficiency, and node betweenness centrality parameters of the two modal brain networks. The T test method is used to analyze the difference of graph theory parameters between normal people and AD patients, and brain regions with significant differences in graph theory parameters are selected as brain network features. By analyzing the calculation principles of the conventional convolutional layer and the depth separable convolution unit, the computational complexity of them is compared. The depth separable convolution unit decomposes the traditional convolution process into spatial convolution for feature extraction and point convolution for feature combination, which greatly reduces the number of multiplication and addition operations in the convolution process, while still being able to obtain comparisons. Aiming at the special convolution structure of the depth separable convolution unit, this paper proposes a channel pruning method based on the convolution structure and explains its pruning process. Multimodal neuroimaging can provide complete information for the quantification of Alzheimer's disease. This paper proposes a cascaded three-dimensional neural network framework based on single-modal and multi-modal images, using MRI and PET images to distinguish AD and MCI from normal samples. Multiple three-dimensional CNN networks are used to extract recognizable information in local image blocks. The high-level two-dimensional CNN network fuses multi-modal features and selects the features of discriminative regions to perform quantitative predictions on samples. The algorithm proposed in this paper can automatically extract and fuse the features of multi-modality and multi-regions layer by layer, and the visual analysis results show that the abnormally changed regions affected by Alzheimer's disease provide important information for clinical quantification.;;1662-453X;;MAR 17;2021;15;10.3389/fnins.2021.651920;J
"Zhou, X; Qiu, SR; Joshi, PS; Xue, CH; Killiany, RJ; Mian, AZ; Chin, SP; Au, RD; Kolachalama, VB";"Zhou, Xiao; Qiu, Shangran; Joshi, Prajakta S.; Xue, Chonghua; Killiany, Ronald J.; Mian, Asim Z.; Chin, Sang P.; Au, Rhoda; Kolachalama, Vijaya B.";Enhancing magnetic resonance imaging-driven Alzheimer's disease classification performance using generative adversarial learning;ALZHEIMERS RESEARCH & THERAPY;Background Generative adversarial networks (GAN) can produce images of improved quality but their ability to augment image-based classification is not fully explored. We evaluated if a modified GAN can learn from magnetic resonance imaging (MRI) scans of multiple magnetic field strengths to enhance Alzheimer's disease (AD) classification performance. Methods T1-weighted brain MRI scans from 151 participants of the Alzheimer's Disease Neuroimaging Initiative (ADNI), who underwent both 1.5-Tesla (1.5-T) and 3-Tesla imaging at the same time were selected to construct a GAN model. This model was trained along with a three-dimensional fully convolutional network (FCN) using the generated images (3T*) as inputs to predict AD status. Quality of the generated images was evaluated using signal to noise ratio (SNR), Blind/Referenceless Image Spatial Quality Evaluator (BRISQUE) and Natural Image Quality Evaluator (NIQE). Cases from the Australian Imaging, Biomarker & Lifestyle Flagship Study of Ageing (AIBL, n = 107) and the National Alzheimer's Coordinating Center (NACC, n = 565) were used for model validation. Results The 3T*-based FCN classifier performed better than the FCN model trained using the 1.5-T scans. Specifically, the mean area under curve increased from 0.907 to 0.932, from 0.934 to 0.940, and from 0.870 to 0.907 on the ADNI test, AIBL, and NACC datasets, respectively. Additionally, we found that the mean quality of the generated (3T*) images was consistently higher than the 1.5-T images, as measured using SNR, BRISQUE, and NIQE on the validation datasets. Conclusion This study demonstrates a proof of principle that GAN frameworks can be constructed to augment AD classification performance and improve image quality.;;1758-9193;;MAR 14;2021;13;10.1186/s13195-021-00797-5;J
"Yang, LQ; Wang, XF; Guo, Q; Gladstein, S; Wooten, D; Li, TF; Robieson, WZ; Sun, Y; Huang, X";"Yang, Liuqing; Wang, Xifeng; Guo, Qi; Gladstein, Scott; Wooten, Dustin; Li, Tengfei; Robieson, Weining Z.; Sun, Yan; Huang, Xin";Deep Learning Based Multimodal Progression Modeling for Alzheimer's Disease;STATISTICS IN BIOPHARMACEUTICAL RESEARCH;The progression of Alzheimer's disease (AD) is a continuous process in cognitive and biomarker changes, with only a fraction of mild cognitive impairment (MCI) patients eventually advancing to AD. There is no definite biomarker signature to determine this eventual progress. The discovery and development of prognostic biomarker signatures for AD is essential to address the challenges of AD drug discovery and development. The deep learning (DL) technique is a recent breakthrough in data science that enables researchers to discover previously unknown features comprised by complicated patterns learnt from large datasets. It has outperformed many traditional machine learning methods in computer vision tasks. In this article, we evaluated the performance of DL algorithms in differentiating patients with diagnosis of AD, MCI, or no evidence of dementia using baseline MRI data of the brain, and integrated features extracted from the neural network with other baseline biomarkers to develop an AD prognostic signature. This signature can be used to understand the patient heterogeneity in a study cohort and provide enrichment strategies for AD clinical trial design.;1946-6315;;;;;;10.1080/19466315.2021.1884129;J
"AbdulAzeem, Y; Bahgat, WM; Badawy, M";"AbdulAzeem, Yousry; Bahgat, Waleed M.; Badawy, Mahmoud";A CNN based framework for classification of Alzheimer's disease;NEURAL COMPUTING & APPLICATIONS;In the current decade, advances in health care are attracting widespread interest due to their contributions to people longer surviving and fitter lives. Alzheimer's disease (AD) is the commonest neurodegenerative and dementing disease. The monetary value of caring for Alzheimer's disease patients is involved to rise dramatically. The necessity of having a computer-aided system for early and accurate AD classification becomes crucial. Deep-learning algorithms have notable advantages rather than machine learning methods. Many recent research studies that have used brain MRI scans and convolutional neural networks (CNN) achieved promising results for the diagnosis of Alzheimer's disease. Accordingly, this study proposes a CNN based end-to-end framework for AD-classification. The proposed framework achieved 99.6%, 99.8%, and 97.8% classification accuracies on Alzheimer's disease Neuroimaging Initiative (ADNI) dataset for the binary classification of AD and Cognitively Normal (CN). In multi-classification experiments, the proposed framework achieved 97.5% classification accuracy on the ADNI dataset.;0941-0643;1433-3058;;;;;10.1007/s00521-021-05799-w;J
"Konijnenberg, E; Tomassen, J; den Braber, A; ten Kate, M; Yaqub, M; Mulder, SD; Nivard, MG; Vanderstichele, H; Lammertsma, AA; Teunissen, CE; van Berckel, BNM; Boomsma, DI; Scheltens, P; Tijms, BM; Visser, PJ";"Konijnenberg, Elles; Tomassen, Jori; den Braber, Anouk; ten Kate, Mara; Yaqub, Maqsood; Mulder, Sandra D.; Nivard, Michel G.; Vanderstichele, Hugo; Lammertsma, Adriaan A.; Teunissen, Charlotte E.; van Berckel, Bart N. M.; Boomsma, Dorret, I; Scheltens, Philip; Tijms, Betty M.; Visser, Pieter Jelle";Onset of Preclinical Alzheimer Disease in Monozygotic Twins;ANNALS OF NEUROLOGY;"Objective The present work was undertaken to study the genetic contribution to the start of Alzheimer's disease (AD) with amyloid and tau biomarkers in cognitively intact older identical twins. Methods We studied in 96 monozygotic twin-pairs relationships between amyloid-beta (A beta) aggregation as measured by the A beta 1-42/1-40 ratio in cerebrospinal fluid (CSF; n = 126) and positron emission tomography (PET, n = 194), and CSF markers for A beta production (beta-secretase 1, A beta 1-40, and A beta 1-38) and CSF tau. Associations among markers were tested with generalized estimating equations including a random effect for twin status, adjusted for age, gender, and apolipoprotein E epsilon 4 genotype. We used twin analyses to determine relative contributions of genetic and/or environmental factors to AD pathophysiological processes. Results Twenty-seven individuals (14%) had an abnormal amyloid PET, and 14 twin-pairs (15%) showed discordant amyloid PET scans. Within twin-pairs, A beta production markers and total-tau (t-tau) levels strongly correlated (r range = 0.73-0.86, all p < 0.0001), and A beta aggregation markers and 181-phosphorylated-tau (p-tau) levels correlated moderately strongly (r range = 0.50-0.64, all p < 0.0001). Cross-twin cross-trait analysis showed that A beta 1-38 in one twin correlated with A beta 1-42/1-40 ratios, and t-tau and p-tau levels in their cotwins (r range = -0.28 to 0.58, all p < .007). Within-pair differences in A beta production markers related to differences in tau levels (r range = 0.49-0.61, all p < 0.0001). Twin discordance analyses suggest that A beta production and tau levels show coordinated increases in very early AD. Interpretation Our results suggest a substantial genetic/shared environmental background contributes to both A beta and tau increases, suggesting that modulation of environmental risk factors may aid in delaying the onset of AD pathophysiological processes. ANN NEUROL 2021";0364-5134;1531-8249;;;;;10.1002/ana.26048;J
"Baydargil, HB; Park, JS; Kang, D";"Baydargil, Husnu Baris; Park, Jang-Sik; Kang, Do-Young";Anomaly Analysis of Alzheimer's Disease in PET Images Using an Unsupervised Adversarial Deep Learning Model;APPLIED SCIENCES-BASEL;In this study, the anomaly analysis of Alzheimer's disease using positron emission tomography (PET) images using an unsupervised proposed adversarial model is investigated. The model consists of three parts: a parallel-network encoder, which is comprised of a convolutional pipeline and a dilated convolutional pipeline that extracts global and local features and concatenates them, a decoder that reconstructs the input image from the obtained feature vector, and a discriminator that distinguishes if the input image image is real or fake. The hypothesis is that if the proposed model is trained with only normal brain images, the corresponding construction loss for normal images should be minimal. However, if the input image belongs to a class that is designated as an anomaly that which the model is not trained with, then the construction loss will be high. This will reflect during the anomaly score comparison between the normal and the anomalous image. A multi-case analysis is performed for three major classes using the Alzheimer's Disease Neuroimaging Initiative dataset, Alzheimer's disease, mild cognitive impairment, and normal control. The base parallel-encoder network shows better classification accuracy than the benchmark models, and the proposed model that is built on the parallel model outperforms the benchmark anomaly detection models. The proposed model gave out 96.03% and 75.21% in classification and area under the curve score, respectively. Additionally, a qualitative evaluation done by using Frechet inception distance gave a better score than the state-of-the-art by three points.;;2076-3417;;MAR;2021;11;10.3390/app11052187;J
