Titulo;Autores;Ano;Instituicao;Imagem;Dataset;Ranking/Neural;ROI;Metricas;n Imagens
3D Convolutional Neural Network and Stacked Bidirectional Recurrent Neural Network for Alzheimer's Disease Diagnosis;n121;2018;Shenzhen University;MRI, PET;ADNI;Neural;Other Anatomical;A,S,R;397[100-128-76-93]
A Novel Deep Learning Framework on Brain Functional Networks for Early MCI Diagnosis;n136;2018;University of North Carolina at Chapel Hill;MRI;ADNI;Neural;Other Anatomical;A,S,R;351[172-179-0]
Deep Convolutional Neural Networks for Automated Diagnosis of AlzheimerÍs Disease and Mild Cognitive Impairment Using 3D Brain MRI;n148;2018;Georgia State University;MRI;ADNI, OASIS ;Neural;Other Anatomical;;1726[537-806-347]
Early Detection of AlzheimerÍs Disease Using Deep Learning;n245;2018;Guangdong University of Technology;MRI;ADNI;Neural;whole brain;;509[162-134-76-137]
Non-white matter tissue extraction and deep convolutional neural network for Alzheimer's disease detection;n333;2018;Chonnam National University;MRI, PET;ADNI;Neural;Other Anatomical;A;615[207-215-193]
Classification of Alzheimer's Disease Based on Eight-Layer Convolutional Neural Network with Leaky Rectified Linear Unit and Max Pooling;n374;2018;;;;;;;
Multi-Modality Cascaded Convolutional Neural Networks for Alzheimer's Disease Diagnosis;n450;2018;;;;;;;
Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease;n634;2018;xxx;;;;;;
Alzheimer's disease Classification from Brain MRI based on transfer learning from CNN;n863;2018;;;;;;;
Classification of Alzheimer Disease on Imaging Modalities with Deep CNNs Using Cross-Modal Transfer Learning;n869;2018;;;;;;;
VGG19-Based Classification of Amyloid PET Image in Patients with MCI and AD;n881;2018;;;;;;;
Detection of Early Stage AlzheimeräÛªs Disease using EEG Relative Power with Deep Neural Network;n890;2018;;;;;;;
A Novel Multimodal MRI Analysis for Alzheimer's Disease Based on Convolutional Neural Network;n891;2018;;;;;;;
A Multi-modal Convolutional Neural Network Framework for the Prediction of AlzheimeräÛªs Disease;n893;2018;;;;;;;
Auto-Detection of Alzheimer's Disease Using Deep Convolutional Neural Networks;n897;2018;;;;;;;
An efficient 3D deep convolutional network for Alzheimer's disease diagnosis using MR images;n958;2018;;;;;;;
3D-CNN HadNet classification of MRI for Alzheimer's Disease diagnosis;n1014;2018;;;;;;;
Brain MRI analysis for Alzheimer's disease diagnosis using an ensemble system of deep convolutional neural networks;n1356;2018;;;;;;;
Alzheimer's disease diagnostics by a 3D deeply supervised adaptable convolutional network;n1415;2018;;;;;;;
Classification of Alzheimer's Disease by Combination of Convolutional and Recurrent Neural Networks Using FDG-PET Images;n1468;2018;;;;;;;
Convolutional Neural Networks-Based MRI Image Analysis for the Alzheimer's Disease Prediction From Mild Cognitive Impairment;n1472;2018;;;;;;;
Automated Multiclass Classification of Spontaneous EEG Activity in Alzheimer's Disease and Mild Cognitive Impairment;n1517;2018;;;;;;;
Diagnosis of Alzheimer's disease with Sobolev gradient-based optimization and 3D convolutional neural network;n89;2019;;;;;;;
A Cascaded Multi-modality Analysis in Mild Cognitive Impairment;n178;2019;;;;;;;
A Deep Learning Approach for Automated Diagnosis and Multi-Class Classification of Alzheimer's Disease Stages Using Resting-State fMRI and Residual Neural Networks;n380;2019;;;;;;;
Convolutional neural network based Alzheimer's disease classification from magnetic resonance brain images;n563;2019;;;;;;;
