<<<<<<< Updated upstream;;;;;;;;;;;
Titulo;Autores;Ano;Instituicao;Imagem;Dataset;Ranking/Neural;ROI;Metricas;n Imagens;;Tipo
3D Convolutional Neural Network and Stacked Bidirectional Recurrent Neural Network for Alzheimer's Disease Diagnosis;n121;2018;Shenzhen University;MRI, PET;ADNI;Neural;Other Anatomical;A,S,R;397[100-128-76-93];;
A Novel Deep Learning Framework on Brain Functional Networks for Early MCI Diagnosis;n136;2018;University of North Carolina at Chapel Hill;MRI;ADNI;Neural;Other Anatomical;A,S,R;351[172-179-0];;3D
Deep Convolutional Neural Networks for Automated Diagnosis of Alzheimers Disease and Mild Cognitive Impairment Using 3D Brain MRI;n148;2018;Georgia State University;MRI;ADNI,OASIS ;Neural;Other Anatomical;A,S,R;1726[537-806-347];;3D
Early Detection of Alzheimers Disease Using Deep Learning;n245;2018;Guangdong University of Technology;MRI, PET;ADNI;Neural;Other Anatomical;A;509[162-134-76-137];;3D
Non-white matter tissue extraction and deep convolutional neural network for Alzheimer's disease detection;n333;2018;Chonnam National University;MRI, PET;ADNI;Neural;Other Anatomical;A;615[207-215-193];;3D
Classification of Alzheimer's Disease Based on Eight-Layer Convolutional Neural Network with Leaky Rectified Linear Unit and Max Pooling;n374;2018;University of Leicester;MRI;OASIS;Neural;Other Anatomical;A,S,R;196[98-0-98];;3D
Multi-Modality Cascaded Convolutional Neural Networks for Alzheimer's Disease Diagnosis;n450;2018;Shanghai Jiao Tong University;MRI, PET;ADNI;Neural;Other Anatomical;A,S,R;397[100-76-126-93];;3D
Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease;n634;2018;;;;;;;;;
Alzheimer's disease Classification from Brain MRI based on transfer learning from CNN;n863;2018;;;;;;;;;
Classification of Alzheimer Disease on Imaging Modalities with Deep CNNs Using Cross-Modal Transfer Learning;n869;2018;;;;;;;;;
VGG19-Based Classification of Amyloid PET Image in Patients with MCI and AD;n881;2018;;;;;;;;;
Detection of Early Stage Alzheimer_Ü_s Disease using EEG Relative Power with Deep Neural Network;n890;2018;;;;;;;;;
A Novel Multimodal MRI Analysis for Alzheimer's Disease Based on Convolutional Neural Network;n891;2018;;;;;;;;;
A Multi-modal Convolutional Neural Network Framework for the Prediction of Alzheimer_Ü_s Disease;n893;2018;;;;;;;;;
Auto-Detection of Alzheimer's Disease Using Deep Convolutional Neural Networks;n897;2018;Tongji University ;MRI;ADNI;Neural;Whole Brain;A;5992[1891-1583-1304-336];;2D
An efficient 3D deep convolutional network for Alzheimer's disease diagnosis using MR images;n958;2018;University of Gothenburg;MRI;ADNI;Neural;Hippocampus ;A;386[62-0-50];;3D
3D-CNN HadNet classification of MRI for Alzheimer's Disease diagnosis;n1014;2018;;;;;;;;;
Brain MRI analysis for Alzheimer's disease diagnosis using an ensemble system of deep convolutional neural networks;n1356;2018;Georgia State University;x;OASIS;Neural;Hippocampus ;P,R,F;416;;3D
Alzheimer's disease diagnostics by a 3D deeply supervised adaptable convolutional network;n1415;2018;University of Louisville;MRI;ADNI;Neural;Whole Brain;A,S,R,F;210[70-70-70];;3D
Classification of Alzheimer's Disease by Combination of Convolutional and Recurrent Neural Networks Using FDG-PET Images;n1468;2018;Shanghai Jiao Tong University;MRI, PET;ADNI ;Neural;Other Anatomical;A,S,R;339[100-146-93];;
Convolutional Neural Networks-Based MRI Image Analysis for the Alzheimer's Disease Prediction From Mild Cognitive Impairment;n1472;2018;Fuzhou University;MRI;ADNI ;Neural;Hippocampus ;A;818[229-401-188];;2.5D
Automated Multiclass Classification of Spontaneous EEG Activity in Alzheimer's Disease and Mild Cognitive Impairment;n1517;2018;;;;;;;;;
Diagnosis of Alzheimer's disease with Sobolev gradient-based optimization and 3D convolutional neural network;n89;2019;Akdeniz University;x;ADNI ;Neural;Other Anatomical;A;1138[568-0-570];;3D
A Cascaded Multi-modality Analysis in Mild Cognitive Impairment;n178;2019;;;;;;;;;
A Deep Learning Approach for Automated Diagnosis and Multi-Class Classification of Alzheimer's Disease Stages Using Resting-State fMRI and Residual Neural Networks;n380;2019;Bahauddin Zakariya University;MRI;ADNI;Neural;Other Anatomical;A;138[25-13-25-25];;2D
Convolutional neural network based Alzheimer's disease classification from magnetic resonance brain images;n563;2019;Bharati Vidyapeeths College of Engineering;MRI;ADNI;Neural;Other Anatomical;A;150[50-50-50];;2D
A deep learning model for early prediction of Alzheimer's disease dementia based on hippocampal magnetic resonance imaging data;n614;2019;;;;;;;;;
Early Alzheimer's disease diagnosis based on EEG spectral images using deep learning;n662;2019;Minzu University of China;MRI;x;Neural;Other Anatomical;A;12000[4000-4000-4000];;2D
Automated classification of Alzheimer's disease and mild cognitive impairment using a single MRI and deep neural networks;n704;2019;Vita-Salute San Raffaele University;MRI;ADNI;Neural;Whole Brain;A,S,R;1638[407-533-280-418];;3D
Classification and Visualization of Alzheimer's Disease using Volumetric Convolutional Neural Network and Transfer Learning;n753;2019;Jeonbuk National University;MRI;ADNI;Neural;Other Anatomical;A,S,R,F;694[230-101-166-198];;3D
Deep Learning Framework for Alzheimer_Ü_s Disease Diagnosis via 3D-CNN and FSBi-LSTM;n814;2019;Shenzhen University;MRI, PET;ADNI;Neural;Whole Brain;A,S,R;397[100-128-76-93];;3D
3D Convolutional Networks Based Automatic Diagnosis of Alzheimer's Disease Using Structural MRI;n878;2019;Shanghai University;x;ADNI;Neural;Hippocampus ;A,S,R,F;391[112-129-150]  ;;3D
Early Diagnoses of Alzheimer using EEG data and Deep Neural Networks classification;n898;2019;;;;;;;;;
Transfer Learning for Alzheimer's Disease Detection on MRI Images;n924;2019;;;;;;;;;
