Work;Work;310.a;310.b;321.a;321.b;321.c;386;426;431;452.a;452.b;463.a;463.b;463.c;463.d;463.e;481;497.a;497.b;498.a;498.b;498.c;498.d;498.e;498.f;498.g;498.h;498.i;498.j;501;525;715.a;715.b;715.c;715.d;715.e;715.f;761.a;761.b;761.c;761.d;761.e;761.f;D20.a;D20.b;D20.c;D20.d;D20.e;D20.f;D20.g;D20.h;D20.i;D51;D55;D87.a;D87.b;D87.c;D87.d;D87.e;D87.f;D87.g;D87.h;19.a;19.b;19.c;19.d;34.a;34.b;34.c;34.d;53.a;53.b;53.c;53.d;53.e;53.f;53.g;53.h;53.i;55.a;55.b;55.c;55.d;55.e;57;66;67;71.a;71.b;71.c;71.d;71.e;84.a;84.b;84.c;112.a;112.b;112.c;200.a;200.b;200.c;200.d;200.e;200.f;200.g;200.h;200.i;200.j;201.a;201.b;201.c;206.a;206.b;206.c;206.d;206.e;206.f;210.a;210.b;210.c;210.d;216.a;216.b;216.c;217;218.a;218.b;218.c;218.d;218.e;218.f;218.g;223;226;240.a;240.b;240.c;240.d;240.e;240.f;240.g;240.h;242;260;277;278
What;Method;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Accuracy;MultiClass;51.4;58.0;;;;;;;;;45.61;42.91;48.96;51.39;53.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.2;50.8;56.1;56.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;58;55;65;;;;;;;;;;;;;;;;;;;;;;;91.85;;
Accuracy;AD vs MCI;;;69.53;59.38;63.28;;;;63;67;;;;;;;;;58.9;52.05;50;62.33;72.23;;;;;;;;;;;;;;;;;;;;78.7;73.1;76.1;63.3;64.3;65.6;63.9;66.9;74.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;69;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66.5;;;;;;;;;;;;;;;;;;;93.89;;
Accuracy;AD vs NC;;;91.41;89.06;89.84;89.22;100;86;80;84;87.32;82.86;92.14;90.89;92.32;;;;85.05;79.44;81.3;78.5;87;79;67.56;66.67;80;85;;90.28;;;;;;;91.4;89.6;84.2;89.4;90.3;86.4;;;;;;;;;;;;;;;;;;;;73.8;77.5;78.8;81.3;;;;;;;;;;;;;;84.12;82.24;81.19;76.17;88.31;91.19;;;85.47;87.13;89.64;88.60;89.64;88;78;90;92.38;92.20;95.35;;;;;;;;;;;88.6;86.0;92.2;;;;;;;;;;;83.41;83.88;87.15;83.7;;;;;;;;96.85;;83.73;90.64;93.55;87.55;89.64;96.27;96.27;97.27;;98.33;;
Accuracy;MCI vs NC;;;65.62;66.25;66.25;;;;55;56;74.02;70.0;77.65;77.9;82.1;;;;74.32;72.14;73.23;58.47;78.22;;;;;;;74.20;74.3;80.9;82.1;84.2;88.8;90.6;77.4;76.4;73.1;74.3;75.6;72.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.86;;;;;;;;85;73;83;84.24;84.29;85.67;;;;;;;;;;;;;;;;;;;;;;;;;;;64.9;;;;;;;;;;;;;;;;;;;91.67;;
Specificity;MultiClass;;;;;;;;;;;82.69;82.26;84.63;82.66;86.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Specificity;AD vs MCI;;;67.19;57.81;64.06;;;;66;73;;;;;;;;;63.97;55.85;57.6;67.39;70;;;;;;;;;;;;;;;;;;;;76.4;67.9;72.9;58.6;59.3;60;63.6;66.4;70.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;35;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79.01;;;;;;;;;;;;;;;;;;;97.78;;
Specificity;AD vs NC;;;89.06;85.94;85.94;;;;86;89;88.47;83.75;88.19;91.67;90.42;;;;94.45;93;91.67;72.29;100;80;76.19;40;72;81;;89.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83.42;77.89;77.89;70.85;84.42;91;;;90;84;92;90;92;90;57;94;94.56;96.33;95.22;;;;;;;;;;;86.8;83.5;92.4;;;;;;;;;;;79.40;80.90;85.93;87.2;;;;;;;;;;78.64;91.67;96.67;85.5;90.14;96.67;98.33;97.5;96;98.89;;
Specificity;MCI vs NC;;;66.25;71.25;68.75;;;;58;60;89.26;80.44;90.51;92.92;92.32;;;;85.59;84.69;83.78;48;83.34;;;;;;;66.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;96;55;95;53.79;56.87;65.87;;;;;;;;;;;;;;;;;;;;;;;;;;;45.2;;;;;;;;;;;;;;;;;;63;92.22;;
Recall;MultiClass;;;;;;;;;;;48.04;43.04;46.61;66.25;52.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
