Work;Work;n121;n136;n148;n245;n333;n374;n450;n897a;n897b;n897c;n958;;n1415;n1468;n1472;n89;n178;n380;n563;n1356a;n1356b;n1356c
What;Method;1;1;1;;1;1;1;1;1;1;1;;1;1;1;1;;1;1;;;
Accuracy;MultiClass;;;;;;;;;;;;;;;;;;97.92;;;;
Accuracy;AD vs MCI;;;91.98;;93;;;94.52;94.50;94.49;;;100;;81.4;98.06;;;99.3;;;
Accuracy;AD vs NC;94.29;;94.97;84;98.8;97.65;93.26;95.44;95.45;95.44;98.74;;99.31;91.2;;;;;99.14;;;
Accuracy;MCI vs NC;64.47;74.23;74.7;79;95;;64.04;96.94;96.90;96.90;;;94.2;78.9;;;;;99.22;;;
Specificity;MultiClass;;;;;;;;;;;;;;;;;;;;;;
Specificity;AD vs MCI;;;95.38;;;;;;;;;;100;;;;;;;;;
Specificity;AD vs NC;92.38;;95.89;;;97.35;93.94;;;;;;98.63;91;;;;;;;;
Specificity;MCI vs NC;48.41;72.92;78.2;;;;67.31;;;;;;91.44;80;;;;;;;;
Recall;MultiClass;;;;;;;;;;;;;;;;;;;;81;89;61
Recall;AD vs MCI;;;90.47;;;;;;;;;;1000;;;;;;;;;
Recall;AD vs NC;96.59;;94.33;;;97.96;92.55;;;;;;1000;91.4;;;;;;;;
Recall;MCI vs NC;70.43;75.51;70.96;;;;63.07;;;;;;97.15;78.1;;;;;;;;
F1score;MultiClass;;;;;;;;;;;;;;;;;;;;92;78;89
F1score;AD vs MCI;;;;;;;;;;;;;1000;;;;;;;;;
F1score;AD vs NC;;;;;;;;;;;;;99.41;;;;;;;;;
F1score;MCI vs NC;;;;;;;;;;;;;94.41;;;;;;;;;
Precision;MultiClass;;;;;;;;;;;;;;;;;;;;93;75;90
Precision;AD vs MCI;;;;;;;;;;;;;;;;;;;;;;
Precision;AD vs NC;;;;;;;;;;;;;;;;;;;;;;
Precision;MCI vs NC;;;;;;;;;;;;;;;;;;;;;;
MAP;MultiClass;;;;;;;;;;;;;;;;;;;;;;
MAP;AD vs MCI;;;;;;;;;;;;;;;;;;;;;;
MAP;AD vs NC;;;;;;;;;;;;;;;;;;;;;;
MAP;MCI vs NC;;;;;;;;;;;;;;;;;;;;;;
